item,value
m_hat_m,55.7388269156932
P_best_x,818.467449413994
P_best_y,580.150100351113
f1_best_L_m,55.6389583550598
f1_best_U_m,55.7388269156932
f1_best_gap_m,0.0998685606334035
worst_beta_deg,317.323783396224
P_f2_x,799.220825448724
P_f2_y,-589.980072810212
f2_L_m,56.5006706548826
f2_U_m,56.5714310197994
f2_dist_m,993.393383380463
f2_time_s,198.678676676093
tau_m,1
n_candidates,411
n_fine,24
n_eval_calls,90
n_cache_hits,27
n_pruned,16
n_pair_pruned,5
n_budget_returns,0
t_search_s,1.362504
t_total_s,5.7875473
