Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
1,base,,14,14,4350.64376843337,310.760269173812,0.409076416666667,1,3253.64376843337,156,850,91,0,NaN
1,optimized,,14,14,4350.64376843337,310.760269173812,0.308562083333333,1,3253.64376843337,156,850,91,0,1500
2,base,,10,10,3678.76046617911,367.876046617911,0.348594541666667,1,2502.76046617911,177,940,59,397.134653341634,NaN
2,optimized,,10,10,3678.76046617911,367.876046617911,0.262224125,1,2502.76046617911,177,940,59,397.134653341634,1500
3,base,,12,12,3950.48627834761,329.207189862301,0.211540166666667,1,2807.48627834761,166,905,72,504.658198656057,NaN
3,optimized,,12,12,3950.48627834761,329.207189862301,0.223064375,1,2807.48627834761,166,905,72,504.658198656057,1500
4,base,,15,15,4028.55991651967,268.570661101311,0.235108916666667,1,2599.55991651967,211,1125,93,167.57069017708,NaN
4,optimized,,15,15,4028.55991651967,268.570661101311,0.250549041666667,1,2599.55991651967,211,1125,93,167.57069017708,1500
5,base,,15,15,4742.14522303655,316.143014869103,0.190521,1,3552.14522303655,170,930,90,0,NaN
5,optimized,,15,15,4742.14522303655,316.143014869103,0.257098833333333,1,3552.14522303655,170,930,90,0,1500
6,base,,13,13,4180.82172564959,321.601671203814,0.281495625,1,3099.82172564958,156,845,80,0,NaN
6,optimized,,13,13,4180.82172564959,321.601671203814,0.232561625,1,3099.82172564958,156,845,80,0,1500
7,base,,15,15,4467.38939286676,297.825959524451,0.181298291666667,1,3274.38939286676,171,935,87,0,NaN
7,optimized,,15,15,4467.38939286676,297.825959524451,0.18885425,1,3274.38939286676,171,935,87,0,1500
8,base,,12,12,4004.98981553482,333.749151294568,0.154161291666667,1,2817.98981553482,175,940,72,0,NaN
8,optimized,,12,12,4004.98981553482,333.749151294568,0.167121708333333,1,2817.98981553482,175,940,72,0,1500
9,base,,15,15,4307.85261540076,287.190174360051,0.157775916666667,1,2996.85261540076,192,1035,84,184.89462364546,NaN
9,optimized,,15,15,4307.85261540076,287.190174360051,0.151301333333333,1,2996.85261540076,192,1035,84,184.89462364546,1500
10,base,,16,16,4379.26606489949,273.704129056218,0.154980416666667,1,3084.26606489949,187,1010,98,0,NaN
10,optimized,,16,16,4586.96758309299,286.685473943312,0.149811666666667,1,3209.96758309299,199,1080,98,0,1500
11,base,,12,12,3712.4820959099,309.373507992492,0.133407708333333,1,2498.4820959099,179,960,75,249.111227990218,NaN
11,optimized,,12,12,3712.4820959099,309.373507992492,0.185852583333333,1,2498.4820959099,179,960,75,249.111227990218,1500
12,base,,13,13,4420.74813074837,340.057548519105,0.153694375,1,3108.74813074837,191,1035,86,0,NaN
12,optimized,,13,13,4420.74813074837,340.057548519105,0.1577875,1,3108.74813074837,191,1035,86,0,1500
13,base,,14,14,4001.04368886031,285.788834918594,0.174478166666667,1,2693.04368886031,193,1030,85,36,NaN
13,optimized,,14,14,4001.04368886031,285.788834918594,0.161703083333333,1,2693.04368886031,193,1030,85,36,1500
14,base,,14,14,4134.93761003873,295.352686431338,0.141058083333333,1,2768.93761003873,202,1085,79,0,NaN
14,optimized,,14,14,4134.93761003873,295.352686431338,0.157441333333333,1,2768.93761003873,202,1085,79,0,1500
15,base,,10,10,3713.47526207846,371.347526207846,0.144555083333333,1,2504.47526207846,179,965,65,0,NaN
15,optimized,,10,10,3713.47526207846,371.347526207846,0.161334625,1,2504.47526207846,179,965,65,0,1500
16,base,,16,16,4522.20499236241,282.637812022651,0.140439291666667,1,3570.20499236241,125,720,107,0,NaN
16,optimized,,16,16,4721.87600418216,295.117250261385,0.149151916666667,1,3721.87600418216,133,760,107,0,1500
17,base,,12,12,4095.42452480353,341.285377066961,0.149868833333333,1,2794.42452480353,194,1035,72,0,NaN
17,optimized,,12,12,4095.42452480353,341.285377066961,0.149908875,1,2794.42452480353,194,1035,72,0,1500
18,base,,15,15,4365.84896667519,291.056597778346,0.147899166666667,1,3268.84896667519,155,855,87,138.414319423508,NaN
18,optimized,,15,15,4365.84896667519,291.056597778346,0.167225583333333,1,3268.84896667519,155,855,87,138.414319423508,1500
19,base,,15,15,4423.25981071363,294.883987380909,0.140141333333333,1,3159.25981071363,178,990,96,301.401364854809,NaN
19,optimized,,15,15,4423.25981071363,294.883987380909,0.14776525,1,3159.25981071363,178,990,96,301.401364854809,1500
20,base,,10,10,3924.11145128815,392.411145128815,0.13119375,1,2841.11145128815,162,865,56,0,NaN
20,optimized,,10,10,3924.11145128815,392.411145128815,0.13981975,1,2841.11145128815,162,865,56,0,1500
21,base,,11,11,3941.15637222875,358.286942929886,0.135099791666667,1,2691.15637222875,181,990,79,519.860739937731,NaN
21,optimized,,11,11,3941.15637222875,358.286942929886,0.176942208333333,1,2691.15637222875,181,990,79,519.860739937731,1500
22,base,,14,14,4012.1503417928,286.582167270914,0.230943083333333,1,2912.1503417928,158,860,82,234.696852202695,NaN
22,optimized,,14,14,4207.480420416,300.534315744,0.177542083333333,1,3061.480420416,164,900,82,234.696852202695,1500
23,base,,16,16,3817.45520748498,238.590950467812,0.168092791666667,1,2937.45520748498,123,665,92,0,NaN
23,optimized,,16,16,3817.45520748498,238.590950467812,0.148376791666667,1,2937.45520748498,123,665,92,0,1500
24,base,,12,12,3918.67430118445,326.55619176537,0.144159541666667,1,2733.67430118445,177,945,63,155.952664802573,NaN
24,optimized,,12,12,3810.72163638187,317.560136365156,0.157300875,1,2672.72163638187,170,905,63,48,1500
25,base,,12,12,4391.43921668964,365.95326805747,0.131063083333333,1,3278.43921668964,163,875,75,0,NaN
25,optimized,,12,12,4391.43921668964,365.95326805747,0.13995525,1,3278.43921668964,163,875,75,0,1500
26,base,,15,15,4498.98330762031,299.93222050802,0.134437458333333,1,3225.98330762031,182,995,96,0,NaN
26,optimized,,15,15,4498.98330762031,299.93222050802,0.142812458333333,1,3225.98330762031,182,995,96,0,1500
27,base,,14,14,4264.80637558898,304.629026827784,0.132442,1,3155.80637558898,156,865,88,242.767624649008,NaN
27,optimized,,14,14,4264.80637558898,304.629026827784,0.145458083333333,1,3155.80637558898,156,865,88,242.767624649008,1500
28,base,,15,15,3980.58879628954,265.372586419303,0.151592583333333,1,2984.58879628954,139,770,87,0,NaN
28,optimized,,15,15,3980.58879628954,265.372586419303,0.152882291666667,1,2984.58879628954,139,770,87,0,1500
29,base,,14,14,4308.72214070601,307.765867193286,0.129934083333333,1,3084.72214070601,176,960,88,139.131885939548,NaN
29,optimized,,14,14,4308.72214070601,307.765867193286,0.142915916666667,1,3084.72214070601,176,960,88,139.131885939548,1500
30,base,,11,11,4210.28459134851,382.753144668046,0.134334625,1,3041.28459134851,175,930,64,0,NaN
30,optimized,,11,11,4210.28459134851,382.753144668046,0.142921333333333,1,3041.28459134851,175,930,64,0,1500
31,base,,10,10,3865.12382028242,386.512382028242,0.133377791666667,1,2511.12382028242,200,1080,74,0,NaN
31,optimized,,10,10,3865.12382028242,386.512382028242,0.168382875,1,2511.12382028242,200,1080,74,0,1500
32,base,,12,12,4169.0888414692,347.424070122433,0.136344583333333,1,3017.0888414692,170,910,72,0,NaN
32,optimized,,12,12,4169.0888414692,347.424070122433,0.145142125,1,3017.0888414692,170,910,72,0,1500
33,base,,10,10,3928.74666328854,392.874666328854,0.126496416666667,1,3138.74666328854,116,615,59,0,NaN
33,optimized,,10,10,3928.74666328854,392.874666328854,0.146460833333333,1,3138.74666328854,116,615,59,0,1500
34,base,,14,14,4135.50407375409,295.393148125292,0.142459041666667,1,2770.50407375409,198,1070,97,0,NaN
34,optimized,,14,14,4135.50407375409,295.393148125292,0.145191208333333,1,2770.50407375409,198,1070,97,0,1500
35,base,,14,14,4008.39300354574,286.313785967553,0.142090458333333,1,2910.39300354574,159,860,79,36,NaN
35,optimized,,14,14,4008.39300354574,286.313785967553,0.152912833333333,1,2910.39300354574,159,860,79,36,1500
