Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
1,base,,15,15,4104.57509788529,273.638339859019,0.281633416666667,1,3100.57509788529,137,765,102,30.0000000000005,NaN
1,optimized,,15,15,4586.08989036982,305.739326024655,0.229326791666667,1,3573.08989036982,144,785,84,136.764259694152,1260
2,base,,15,15,4042.59243062354,269.506162041569,0.211874708333333,1,3125.59243062354,130,700,87,0,NaN
2,optimized,,15,15,3562.57494861553,237.504996574369,0.172438041666667,1,2737.57494861553,115,620,90,0,1260
3,base,,14,14,3991.48681541072,285.106201100766,0.166446708333333,1,2857.48681541072,166,880,88,302.489299471634,NaN
3,optimized,,14,14,3568.05216054496,254.860868610354,0.185489791666667,1,2720.05216054496,120,640,88,0,1200
4,base,,13,13,3966.1085166841,305.085270514161,0.170848166666667,1,3156.1085166841,117,625,68,332.278268914164,NaN
4,optimized,,13,13,4076.01363278351,313.539510214116,0.1698775,1,3267.01363278351,114,615,80,0,1200
5,base,,16,16,3645.85695713038,227.866059820649,0.169936625,1,2780.85695713038,117,650,98,0,NaN
5,optimized,,16,16,3866.10130360457,241.631331475286,0.160669583333333,1,3199.10130360457,86,480,101,0,1200
6,base,,10,10,3935.91291947096,393.591291947096,0.160916833333333,1,3009.91291947096,137,730,59,0,NaN
6,optimized,,10,10,3802.48185114071,380.248185114071,0.189765625,1,2975.48185114071,120,645,62,256.287274244374,1320
7,base,,15,15,4079.69927325565,271.979951550376,0.17534425,1,3184.69927325565,128,680,87,0,NaN
7,optimized,,15,15,3804.02177040914,253.601451360609,0.177889166666667,1,2710.02177040914,160,850,84,0,1200
8,base,,16,16,4053.68686418299,253.355429011437,0.200454416666667,1,3227.68686418299,113,615,98,0,NaN
8,optimized,,16,16,3509.96155753753,219.372597346096,0.165748958333333,1,2748.96155753753,105,570,86,0,1200
9,base,,16,16,4916.74490575142,307.296556609464,0.220675166666667,1,4077.74490575142,112,635,92,0,NaN
