Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
1,base,,14,14,3998.41986891304,285.601419208075,0.557578416666667,1,3166.41986891305,120,630,82,0,NaN
1,optimized,,14,14,3964.78829758769,283.199164113406,0.241704958333333,1,3146.78829758768,120,625,73,0,1200
2,base,,15,15,3689.59938923828,245.973292615885,0.153576875,1,2873.59938923828,115,620,81,0,NaN
2,optimized,,15,15,3321.26148980698,221.417432653798,0.234192166666667,1,2548.26148980698,108,590,75,233.987760113312,1200
3,base,,10,10,3743.80312106272,374.380312106272,0.174500208333333,1,2787.80312106272,143,760,53,227.058573041406,NaN
3,optimized,,10,10,3471.68871858275,347.168871858275,0.146205375,1,2526.68871858275,142,750,53,203.432013069079,1380
4,base,,10,10,3662.54055320122,366.254055320122,0.118665041666667,1,2757.54055320122,135,720,50,0,NaN
4,optimized,,10,10,3365.34891653403,336.534891653403,0.159058958333333,1,2505.34891653403,127,680,53,0,1200
5,base,,14,14,4020.71165539365,287.193689670975,0.129638208333333,1,3237.71165539365,110,600,73,590.913091072024,NaN
5,optimized,,14,14,3552.48405922985,253.748861373561,0.178952666666667,1,2826.48405922985,103,550,73,78.6694914411964,1200
6,base,,10,10,3673.2843612319,367.32843612319,0.121783791666667,1,2738.2843612319,139,740,56,382.610665814566,NaN
6,optimized,,10,10,2973.5275359521,297.35275359521,0.134411083333333,1,2034.5275359521,141,745,53,511.242636748273,1200
7,base,,11,11,3640.1868221948,330.926074744981,0.114527583333333,1,2651.1868221948,146,785,58,0,NaN
7,optimized,,11,11,3190.81298086104,290.073907351003,0.143382208333333,1,2140.81298086104,160,835,55,0,1260
8,base,,16,16,3890.80636182651,243.175397614157,0.133239333333333,1,3092.80636182651,110,605,83,0,NaN
8,optimized,,16,16,3428.58222717897,214.286389198686,0.158901375,1,2715.58222717897,100,530,83,0,1200
9,base,,11,11,3502.4741240809,318.406738552809,0.143610166666667,1,2612.4741240809,132,700,58,54,NaN
9,optimized,,11,11,3148.27224003094,286.20656727554,0.153487333333333,1,2259.27224003094,134,700,55,0,1200
10,base,,13,13,3898.40397529895,299.87722886915,0.132490416666667,1,2959.40397529895,139,735,65,0,NaN
10,optimized,,13,13,3355.63196585234,258.125535834796,0.124395916666667,1,2472.63196585234,130,685,68,0,1200
11,base,,15,15,3680.44643254599,245.363095503066,0.112621875,1,2822.44643254599,123,660,75,240.944602948696,NaN
11,optimized,,15,15,3769.73893430409,251.315928953606,0.117801916666667,1,2842.73893430409,131,715,81,0,1200
12,base,,15,15,3980.82425065584,265.388283377056,0.112672791666667,1,2831.82425065584,167,895,87,0,NaN
12,optimized,,15,15,3402.08500154868,226.805666769912,0.167938583333333,1,2349.08500154868,154,815,84,0,1200
13,base,,15,15,3491.67198214389,232.778132142926,0.13282825,1,2542.67198214389,136,720,93,164.387539757187,NaN
13,optimized,,15,15,3600.86361541146,240.057574360764,0.120303125,1,2687.86361541146,128,695,90,0,1200
14,base,,12,12,3855.97755523553,321.331462936294,0.103136833333333,1,2966.97755523553,131,695,63,0,NaN
14,optimized,,12,12,3757.52508766547,313.127090638789,0.115855708333333,1,2877.52508766547,129,685,66,0,1260
15,base,,10,10,3534.8069997791,353.48069997791,0.113302166666667,1,2604.8069997791,139,735,56,299.063616594381,NaN
15,optimized,,10,10,3061.77888538925,306.177888538925,0.120819208333333,1,2080.77888538925,148,780,53,0,1260
16,base,,14,14,4002.9093581313,285.922097009379,0.133733083333333,1,3114.9093581313,127,685,76,235.457181110236,NaN
16,optimized,,14,14,3379.80316538001,241.414511812858,0.144761791666667,1,2475.80316538,132,690,82,0,1200
17,base,,13,13,3392.51351390391,260.962577992608,0.132856416666667,1,2474.51351390391,134,710,74,42,NaN
17,optimized,,13,13,3354.11993151891,258.009225501454,0.141891625,1,2488.11993151891,125,670,71,206.227013513411,1200
18,base,,10,10,3662.25300197013,366.225300197013,0.110658833333333,1,2650.25300197013,154,805,53,388.290074561601,NaN
