N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,Error
13,13,3031.93908114178,233.226083164752,0.200494375,1,2368.93908114178,93,505,65,1690.60547605277,
15,15,3115.68732165358,207.712488110239,0.183328916666667,1,2529.68732165358,78,430,78,1582.25541171734,
15,15,2787.70261662108,185.846841108072,0.132526041666667,1,2151.70261662108,85,470,81,1523.43261064142,
16,16,1503.86334625039,93.9914591406494,0.173670416666667,1,1028.86334625039,62,330,83,0,
16,16,1704.22087410099,106.513804631312,0.352445916666667,1,1266.22087410099,55,300,83,0,
16,16,1246.09562911457,77.8809768196606,0.140308291666667,1,797.095629114569,57,300,92,0,
16,16,1298.63066907025,81.1644168168909,0.147410791666667,1,852.630669070255,57,300,89,0,
12,12,2670.15633029501,222.513027524584,0.130244041666667,1,1966.15633029501,101,540,63,1653.39963912401,
16,16,1631.18454827607,101.949034267254,0.17040175,1,1191.18454827607,57,300,83,0,
16,16,1690.30491098419,105.644056936512,0.1292365,1,1244.30491098419,58,305,83,0,
13,13,3264.51031442697,251.116178032844,0.142027916666667,1,2571.51031442697,94,525,74,1817.09120415871,
16,16,1196.87570541981,74.8047315887382,0.153412458333333,1,759.875705419812,57,300,80,0,
13,13,3002.05772664802,230.927517434463,0.80739325,1,2346.05772664802,90,495,71,1676.48999627476,
16,16,1694.22939820495,105.889337387809,0.875232375,1,1230.22939820495,60,315,89,0,
16,16,1217.69378794211,76.105861746382,0.885285583333333,1,800.693787942111,54,280,83,0,
13,13,2915.0080446903,224.2313880531,0.296008875,1,2218.0080446903,97,520,80,1705.66173629936,
10,10,3032.22736320085,303.222736320085,0.431081875,1,2264.22736320085,113,605,50,1779.23639045391,
16,16,1180.30875873239,73.7692974207742,0.423118333333333,1,754.308758732387,56,290,80,0,
16,16,1120.53686503276,70.0335540645474,1.12054775,1,685.536865032758,57,295,83,0,
14,14,3239.36892120184,231.38349437156,0.611973333333333,1,2594.36892120184,87,485,73,1567.05286632425,
13,13,2956.86470341274,227.451131031749,0.358291291666667,1,2280.86470341274,95,510,71,1712.10637212355,
10,10,4344.86845530492,434.486845530492,0.254970333333333,1,3497.86845530492,122,675,50,1073.48805018869,
15,15,2848.44305991141,189.896203994094,0.287216708333333,1,2246.44305991142,82,445,75,1584.06844251119,
11,11,2886.19052114265,262.380956467514,0.210597208333333,1,2155.19052114265,106,570,55,1613.5568000352,
12,12,2987.51424659705,248.959520549755,0.272998041666667,1,2291.51424659705,100,530,66,1420.40443216882,
13,13,2661.79903928885,204.753772252988,0.238574625,1,1999.79903928885,92,505,65,1566.04020216806,
14,14,3204.6432219715,228.903087283679,0.19487475,1,2572.6432219715,87,475,70,1883.75319628533,
12,12,2757.14353848952,229.761961540793,0.242348666666667,1,2059.14353848952,100,535,63,1678.8709142866,
16,16,1512.42576882577,94.5266105516104,0.358824291666667,1,1085.42576882577,54,290,83,0,
10,10,4869.70497166537,486.970497166537,0.266597708333333,1,4121.70497166537,103,595,50,1815.97454817289,
