N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,Error
14,14,4337.0056008759,309.786114348278,0.311798125,1,3262.0056008759,156,840,79,0,
10,10,3694.11968570078,369.411968570078,0.156476791666667,1,2505.11968570078,177,950,62,395.782346359466,
12,12,3951.19844068424,329.266536723687,0.147468166666667,1,2819.19844068424,166,900,66,504.570410562734,
15,15,4020.54674045117,268.036449363411,0.120198625,1,2607.54674045117,209,1120,84,169.110467435408,
15,15,4757.8980631395,317.1932042093,0.132175041666667,1,3548.8980631395,170,940,99,0,
13,13,4173.50724692349,321.039018994114,0.1206835,1,3092.50724692349,156,845,80,0,
15,15,4501.99039759409,300.13269317294,0.122115333333333,1,3309.99039759409,173,935,84,0,
12,12,3983.29704034767,331.941420028973,0.115174583333333,1,2807.29704034767,175,935,66,0,
15,15,4315.73289620951,287.715526413967,0.115468541666667,1,2996.73289620951,192,1040,87,184.491490711222,
16,16,4400.57524330673,275.03595270667,0.125819083333333,1,3076.57524330673,187,1030,107,0,
12,12,3720.06763546955,310.005636289129,0.138539625,1,2509.06763546955,179,960,72,249.300358013261,
13,13,4432.98357555847,340.998736581421,0.129653333333333,1,3112.98357555847,191,1040,89,0,
14,14,4001.21683082983,285.80120220213,0.121027375,1,2696.21683082983,193,1030,82,36,
14,14,4269.97504962067,304.998217830048,0.123820458333333,1,2856.97504962067,210,1130,73,0,
10,10,3703.52009071839,370.352009071839,0.110942708333333,1,2502.52009071839,179,960,62,0,
16,16,4525.15152381206,282.821970238254,0.115594708333333,1,3589.15152381206,125,710,101,0,
12,12,4081.7158649254,340.142988743783,0.111797416666667,1,2799.7158649254,194,1025,63,0,
15,15,4382.43088970363,292.162059313575,0.118090666666667,1,3273.43088970363,161,870,78,138.340968439132,
15,15,4400.58973171954,293.372648781303,0.109424583333333,1,3152.58973171954,178,980,90,303.045341501447,
10,10,3925.42943347647,392.542943347647,0.115551875,1,2842.42943347647,162,865,56,0,
11,11,4082.29814444652,371.118013131502,0.107177458333333,1,2768.29814444652,197,1050,67,520.26896373266,
14,14,4039.71365698517,288.550975498941,0.117660291666667,1,2912.71365698517,158,875,94,232.461576040069,
16,16,3786.56732896038,236.660458060024,0.120029916666667,1,2865.56732896038,126,700,95,0,
12,12,3910.17631038643,325.848025865535,0.108582833333333,1,2717.17631038643,177,950,66,155.649761490138,
12,12,4420.699510828,368.391625902333,0.112320291666667,1,3278.699510828,163,895,84,0,
15,15,4501.56950623947,300.104633749298,0.117275416666667,1,3230.56950623947,182,990,99,0,
14,14,4238.36518736007,302.74037052572,0.113363125,1,3153.36518736007,156,850,79,241.652461738461,
15,15,3958.93048195699,263.928698797132,0.121747958333333,1,2973.93048195699,139,765,81,0,
14,14,4313.42628946563,308.101877818973,0.122537041666667,1,3108.42628946563,176,950,79,138.341412274719,
11,11,4230.39637693591,384.581488812355,0.128331125,1,3045.39637693591,175,940,70,0,
