Trial,Channel,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,10,484,691.38484510712,691.38484510712,207.38484510712
1,12,496,838.177060393117,146.792215285997,342.177060393117
1,19,538,929.300987692088,91.1239272989708,391.300987692088
1,4,448,1136.46690593563,207.165918243544,688.466905935632
1,6,1441.56609135275,1596.56553037876,460.09862444313,154.999439026016
1,9,1459.56609135275,1771.50322123973,174.93769086097,311.937129886986
1,8,1807.50322123973,2005.22760947314,233.724388233406,197.724388233406
1,13,1819.50322123973,2129.57543241132,124.347822938183,310.072211171589
1,1,2643.77308177137,2783.87359738373,654.298164972414,140.100515612365
1,2,2649.77308177137,2856.10671715126,72.2331197675226,206.333635379888
1,17,3234.81084446088,3362.69666651154,506.589949360283,127.885822050662
1,7,3204.81084446088,3514.05653673239,151.359870220854,309.245692271516
1,16,3895.24325345982,4037.73961618563,523.683079453236,142.496362725807
1,5,3871.24325345982,4337.0056008759,299.265984690266,465.762347416073
2,20,424,633.283753405523,633.283753405523,209.283753405523
2,6,460,744.977984431559,111.694231026036,284.977984431559
2,5,454,893.503447778358,148.525463346799,439.503447778358
2,12,953.503447778358,1068.06940438798,174.565956609618,114.565956609618
2,14,965.503447778358,1213.53475689598,145.465352508,248.031309117618
2,1,1380.15752315324,1671.31846341128,457.783706515304,291.160940258039
2,17,1743.31846341128,1851.37017026296,180.051706851678,108.051706851678
2,19,2038.81385397635,2277.97657013396,426.606399871002,239.162716157607
2,13,2994.05746521261,3151.86959155935,873.893021425388,157.812126346742
2,3,2952.05746521261,3298.33733934131,146.467747781965,346.279874128707
3,11,490,670.153491357183,670.153491357183,180.153491357183
3,10,484,803.536934519954,133.383443162772,319.536934519954
3,16,520,1014.01525527364,210.478320753683,494.015255273637
3,18,1442.26850577588,1527.09591211658,513.080656842939,84.8274063406952
3,5,1382.26850577588,1610.06625633996,82.9703442233824,227.797750564078
3,7,1394.26850577588,1751.6436290644,141.577372724446,357.375123288524
3,2,1763.6436290644,2044.18243560023,292.538806535829,280.538806535829
3,15,2677.24547834606,2767.16993176086,722.987496160629,89.9244534148038
3,3,2629.24547834606,2933.40525849573,166.235326734864,304.159780149668
3,13,2665.24547834606,3102.17811554406,168.772857048332,436.932637198
3,1,3108.17811554406,3299.51229819514,197.334182651076,191.334182651076
3,12,3138.17811554406,3446.62803012151,147.115731926373,308.44991457745
4,20,424,692.3937580874,692.3937580874,268.3937580874
4,19,806.3937580874,974.893548516029,282.499790428629,168.499790428629
4,1,980.893548516029,1170.38719578383,195.493647267801,189.493647267801
4,8,1022.89354851603,1277.80379631293,107.416600529095,254.910247796896
4,18,1082.89354851603,1420.38008715445,142.576290841524,337.486538638421
4,9,1462.38008715445,1579.62916000602,159.249072851573,117.249072851573
4,10,1923.74979432664,2074.42137670748,494.792216701457,150.671582380838
4,14,2134.42137670748,2299.88690091555,225.465524208073,165.465524208073
4,12,2347.88690091555,2581.03203821937,281.145137303814,233.145137303814
4,3,2593.03203821937,2904.72653080809,323.694492588718,311.694492588718
4,17,3204.62244156701,3336.4452191295,431.718688321414,131.822777562489
4,15,3252.62244156701,3432.70811302279,96.2628938932858,180.085671455775
4,2,3210.62244156701,3515.33093460074,82.6228215779588,304.708493033734
4,7,3234.62244156701,3694.01325558554,178.682320984791,459.390814018525
4,4,3700.01325558554,3851.43627301576,157.423017430224,151.423017430224
5,7,466,722.831701018032,722.831701018032,256.831701018032
5,12,984.368356325102,1230.07224490867,507.240543890639,245.70388858357
5,6,954.368356325102,1435.3195341269,205.247289218226,480.951177801795
5,11,978.368356325102,1725.41997896945,290.10044484255,747.051622644345
5,9,478,2131.21888208008,405.798903110629,1653.21888208008
5,1,2410.738253777,2648.63260768913,517.413725609053,237.89435391213
5,16,3009.69709656672,3108.59460948274,459.962001793609,98.8975129160199
5,14,2997.69709656672,3208.72500414124,100.130394658498,211.027907574518
5,2,2955.69709656672,3306.45928428739,97.7342801461541,350.762187720672
5,19,3027.69709656672,3395.98825887934,89.5289745919486,368.291162312621
5,4,3407.98825887934,3642.07076066501,246.082501785669,234.082501785669
5,13,3884.82777138406,4087.70426537512,445.633504710115,202.876493991063
5,20,4345.97597933734,4466.91108106405,379.206815688927,120.93510172671
5,5,4357.97597933734,4598.2662471166,131.355166052548,240.290267779258
5,17,4381.97597933734,4757.8980631395,159.631816022902,375.92208380216
6,10,484,719.46803897014,719.46803897014,235.46803897014
6,15,514,898.531307404613,179.063268434473,384.531307404613
6,13,1684.57352817926,1826.81775407638,928.286446671764,142.244225897118
6,20,1714.57352817926,1937.92493931401,111.107185237628,223.351411134746
6,16,1696.57352817926,2050.13180727509,112.206867961086,353.558279095832
6,1,1618.57352817926,2242.35437110997,192.222563834877,623.780842930709
6,11,1672.57352817926,2418.9951374426,176.640766332636,746.421609263345
6,9,2715.66864443839,2852.90349370586,433.908356263257,137.234849267475
6,17,2733.66864443839,2974.48259653214,121.579102826279,240.813952093754
6,7,2703.66864443839,3108.06714160368,133.58454507154,404.398497165294
6,8,3440.5451126166,3535.1808370306,427.113695426922,94.6357244139986
6,6,3895.58286220086,4007.29023286371,472.109395833106,111.707370662849
6,5,3889.58286220086,4173.50724692349,166.217014059779,283.924384722628
7,8,472,626.766170813542,626.766170813542,154.766170813542
7,1,430,768.009406093771,141.243235280229,338.009406093771
7,2,436,925.603450543898,157.594044450127,489.603450543898
7,19,1021.6034505439,1133.60777391031,208.004323366415,112.004323366415
7,9,961.603450543898,1243.29588332499,109.688109414675,281.69243278109
7,11,1285.29588332499,1533.27334243182,289.977459106829,247.977459106829
7,10,1569.27334243182,2026.48781956474,493.214477132927,457.214477132927
7,15,1593.27334243182,2194.63962355777,168.151803993022,601.366281125949
7,18,1611.27334243182,2375.38999928922,180.750375731458,764.116656857407
7,6,2399.38999928922,2607.9524898855,232.562490596273,208.562490596273
7,14,2423.38999928922,2775.40267105475,167.45018116925,352.012671765523
7,16,2817.40267105475,3117.5897168376,342.18704578285,300.18704578285
7,3,3394.04469524664,3506.31971085482,388.729994017222,112.275015608175
7,12,3865.02594672925,3964.3849606234,458.065249768583,99.3590138941522
7,4,4332.5306013143,4501.99039759409,537.605436970693,169.459796279799
8,6,460,622.67346695821,622.67346695821,162.67346695821
8,19,538,721.300357718697,98.626890760486,183.300357718697
8,18,532,899.313700266679,178.013342547982,367.313700266679
8,14,1253.10072682926,1452.85591612969,553.542215863012,199.755189300427
8,15,1530.85591612969,1643.74778623955,190.891870109863,112.891870109863
8,3,1470.85591612969,1723.5921643131,79.8443780735506,252.736248183414
8,7,2724.01000640541,2943.53653961335,1219.94437530024,219.526533207933
8,17,2772.01000640541,3142.80973638907,199.273196775723,370.799729983657
8,13,3574.22573405322,3693.7077485651,550.89801217603,119.482014511875
8,5,3538.22573405322,3804.82981290917,111.122064344072,266.604078855948
8,10,3556.22573405322,3874.56239826769,69.732585358518,318.336664214466
8,20,3514.22573405322,3983.29704034767,108.734642079982,469.071306294447
9,19,538,664.663323596471,664.663323596471,126.663323596471
9,14,748.663323596471,974.978011138006,310.314687541536,226.314687541536
