N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,Error
15,15,4618.24957492778,307.883304995185,0.253359875,1,3431.24957492778,169,925,93,0,
15,15,4016.33778879125,267.755852586084,0.40194975,1,3089.33778879125,132,705,90,0,
14,14,3998.41061301013,285.600758072152,0.312399,1,2882.41061301013,164,870,82,304.363718016672,
13,13,3804.39528206906,292.645790928389,0.204896625,1,2829.39528206906,140,755,80,332.349055791748,
16,16,3773.52677796588,235.845423622867,0.208855125,1,2904.52677796588,119,655,95,0,
10,10,3950.71190381824,395.071190381824,0.188013708333333,1,3032.71190381824,137,725,56,0,
15,15,4292.60645827458,286.173763884972,0.27786675,1,3375.60645827458,124,700,93,0,
16,16,3731.29535300048,233.20595956253,0.192314625,1,2997.29535300048,103,545,86,0,
16,16,4736.77915283793,296.048697052371,0.165158083333333,1,3834.77915283793,122,685,95,0,
16,16,3776.60840699975,236.038025437484,0.169174208333333,1,2935.60840699975,116,630,95,0,
10,10,3782.76568749735,378.276568749735,0.143945625,1,2681.76568749735,165,880,56,0,
11,11,3804.03954985606,345.821777259642,0.143246625,1,2579.03954985606,182,970,73,388.05786642115,
15,15,4043.7773229828,269.58515486552,0.16560075,1,3180.7773229828,121,655,87,499.887556434488,
12,12,3754.44762971395,312.870635809496,0.170494666666667,1,2825.44762971395,134,720,75,0,
13,13,3680.50554077273,283.115810828671,0.175310541666667,1,2575.50554077273,157,865,83,287.571983083258,
15,15,4189.27975751396,279.285317167597,0.164283166666667,1,3303.27975751396,125,680,81,0,
16,16,3969.79530014597,248.112206259123,0.177153291666667,1,3146.79530014597,112,625,86,0,
13,13,3775.79589821194,290.445838323996,0.161558958333333,1,2810.79589821194,143,745,77,0,
15,15,3947.18895852255,263.14593056817,0.159621625,1,2913.18895852255,145,790,99,0,
16,16,3752.19570774164,234.512231733852,0.150756666666667,1,3005.19570774164,100,540,107,0,
10,10,3659.3715300117,365.93715300117,0.130796458333333,1,2574.3715300117,161,865,59,289.061652606867,
16,16,3721.90146386761,232.618841491726,0.138863375,1,2849.90146386761,122,655,95,0,
13,13,3918.2715131772,301.405501013631,0.15336625,1,3034.2715131772,131,685,68,0,
12,12,4130.50474254868,344.208728545723,0.146385625,1,3033.50474254868,159,860,78,0,
13,13,3736.51011151773,287.423854732133,0.168042708333333,1,2719.51011151773,144,790,83,0,
11,11,4191.18679130364,381.016981027603,0.140804291666667,1,2946.18679130364,186,995,64,266.80608422895,
12,12,3750.01067306984,312.500889422487,0.142192791666667,1,2853.01067306984,130,695,72,448.999582382902,
12,12,3814.11657996649,317.843048330541,0.134053208333333,1,2811.11657996649,147,790,66,287.7442401072,
11,11,3558.01530337859,323.455936670781,0.133381208333333,1,2663.01530337859,132,705,58,0,
14,14,4510.2176529438,322.1584037817,0.137209708333333,1,3473.21765294381,147,805,85,0,
