Trial,Channel,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,14,83,88,88,5
1,4,23,443.596173271714,355.596173271714,420.596173271714
1,5,29,610.934500455014,167.3383271833,581.934500455014
1,7,41,782.168776858579,171.234276403565,741.168776858579
1,17,1183.93891497311,1422.27953506073,640.110758202155,238.340620087625
1,6,1625.92440490625,1769.3474988324,347.067963771662,143.423093926147
1,15,1667.92440490625,1873.51414437391,104.166645541514,205.589739467661
1,9,1141.93891497311,2389.71204092554,516.197896551628,1247.77312595243
1,18,3150.23748373439,3375.5321402015,985.820099275962,225.294656467104
1,13,3423.5321402015,3642.62912373536,267.096983533866,219.096983533866
1,19,3696.62912373536,3856.42266233333,213.793538597969,159.793538597969
1,20,3702.62912373536,4160.04577709509,303.623114761761,457.41665335973
1,10,3672.62912373536,4254.53820041854,94.492423323446,581.909076683176
1,11,4284.53820041854,4434.42522713421,179.887026715671,149.887026715671
1,2,4266.53820041854,4618.24957492778,183.824347793568,351.711374509238
2,9,53,58,58,5
2,8,47,302.917347481373,244.917347481373,255.917347481373
2,10,64,520.778577844248,217.861230362874,456.778577844248
2,15,380.917347481373,886.030623409722,365.252045565475,505.113275928349
2,2,314.917347481373,957.586233683798,71.5556102740754,642.668886202424
2,18,398.917347481373,1123.29823298393,165.711999300127,724.380885502552
2,3,1671.54899305931,1915.51506213289,792.216829148961,243.966069073572
2,12,1707.54899305931,2125.36263449793,209.84757236504,417.813641438612
2,4,1677.54899305931,2278.89771029652,153.535075798594,601.348717237206
2,14,2466.65261811435,2565.80514483458,286.907434538057,99.1525267202269
2,1,5,2770.41244241749,204.607297582917,2765.41244241749
2,13,3089.83454963975,3286.07500446952,515.662562052025,196.240454829765
2,5,3065.83454963975,3345.64011116196,59.5651066924361,279.805561522201
2,17,3101.83454963975,3518.50834008526,172.868228923306,416.673790445507
2,20,3767.50521330359,4016.33778879125,497.829448705993,248.832575487661
3,6,35,40,40,5
3,7,46,330.818446867986,290.818446867986,284.818446867986
3,9,58,862.037446918192,531.219000050206,804.037446918192
3,5,360.818446867986,1024.65374996859,162.616303050398,663.835303100604
3,15,1090.65374996859,1216.79781761772,192.14406764913,126.14406764913
3,13,396.818446867986,1397.57519463403,180.777377016311,1000.75674776604
3,8,52,1565.24903187671,167.673837242676,1513.24903187671
3,17,106,1737.34923900804,172.100207131336,1631.34923900804
3,19,118,1840.82925927634,103.480020268301,1722.82925927634
3,12,2252.4923436102,2546.27474481766,705.445485541315,293.782401207459
