N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,Error
14,14,3861.68114289792,275.834367349852,0.6409653,1,2925.68114289792,135,725,76,0,
15,15,3672.60584389909,244.840389593273,0.1787915,1,2877.60584389909,111,600,84,0,
10,10,3998.99183852413,399.899183852414,0.1584672,1,2746.99183852414,192,1010,50,257.850859657905,
10,10,3351.79169836419,335.179169836419,0.1531086,1,2355.79169836419,150,790,56,229.750044200102,
14,14,3986.73771321198,284.766979515141,0.173592,1,3181.73771321198,113,610,82,0,
10,10,3769.47853396565,376.947853396565,0.149154,1,2818.47853396565,143,755,53,0,
11,11,3768.59527707137,342.599570642852,0.1520661,1,2847.59527707137,136,730,55,0,
16,16,3507.80345657425,219.237716035891,0.1514967,1,2688.80345657425,115,615,89,0,
11,11,3436.51233996265,312.410212723877,0.1433855,1,2549.51233996265,132,700,55,54,
13,13,4078.54774578697,313.734441983613,0.1482949,1,3167.54774578697,133,710,68,0,
15,15,3704.3129339806,246.954195598707,0.1418105,1,2816.3129339806,128,685,75,0,
15,15,3885.60418890501,259.040279260334,0.1524195,1,3105.60418890501,110,595,75,573.324031429033,
15,15,3671.67094681723,244.778063121149,0.1484932,1,2833.67094681723,119,635,84,0,
12,12,3729.2307095735,310.769225797792,0.1429046,1,2889.2307095735,122,655,63,0,
10,10,4020.88374465255,402.088374465255,0.1580131,1,2869.88374465255,172,920,59,338.579296609291,
14,14,3845.19875041109,274.657053600792,0.1472593,1,2864.19875041109,143,765,73,231.584278296455,
13,13,3444.48408227848,264.960314021421,0.1434195,1,2524.48408227848,136,710,74,42,
10,10,3494.05670755889,349.405670755889,0.1423943,1,2542.05670755889,146,750,56,387.614742330626,
11,11,3567.46805845848,324.31527804168,0.1365978,1,2528.46805845848,156,825,58,0,
11,11,3678.65234961461,334.422940874056,0.1382255,1,2653.65234961461,154,810,61,390.57753163349,
10,10,3321.16184543548,332.116184543548,0.138747,1,2384.16184543548,141,740,56,278.032925104775,
11,11,3537.64059825664,321.603690750603,0.1431248,1,2526.64059825664,150,800,61,624.759482365959,
10,10,3425.65887978393,342.565887978393,0.1386803,1,2354.65887978393,161,860,50,639.550582680301,
12,12,3948.86916013838,329.072430011531,0.1418025,1,2991.86916013838,140,745,72,0,
15,15,3806.55089293184,253.77005952879,0.1409533,1,2887.55089293184,133,705,81,0,
16,16,3405.50077064856,212.843798165535,0.1397863,1,2561.50077064856,121,640,83,0,
11,11,3348.06888644334,304.369898767576,0.1405129,1,2411.06888644334,138,735,64,482.222874477811,
10,10,3598.28539310457,359.828539310457,0.1444633,1,2723.28539310457,132,690,53,60,
15,15,3910.27778721045,260.68518581403,0.1377533,1,3041.27778721045,124,670,75,30,
15,15,3841.33357283107,256.088904855405,0.1431581,1,3031.33357283107,115,620,75,504.960980862641,
10,10,3537.78357571827,353.778357571827,0.1400444,1,2495.78357571827,156,830,56,242.640361798666,
13,13,3771.67969470974,290.129207285364,0.1428048,1,2784.67969470974,143,770,74,0,
10,10,3369.09570241056,336.909570241056,0.1385584,1,2479.09570241056,134,700,56,720.579094196529,
10,10,3503.16219132056,350.316219132056,0.1450154,1,2470.16219132056,157,820,56,307.327153183167,
13,13,3767.29488117813,289.791913936779,0.1376487,1,2702.29488117813,160,840,65,169.797038442068,
15,15,3768.67514687005,251.245009791336,0.1419005,1,3073.67514687005,96,515,84,0,
12,12,3987.96310261489,332.330258551241,0.1435865,1,3014.96310261489,145,765,63,0,
14,14,3749.01958574855,267.787113267754,0.1497412,1,2971.01958574855,110,595,73,536.228198948629,
12,12,3810.49008102612,317.54084008551,0.1449183,1,2885.49008102612,136,720,69,48,
10,10,3536.53461245218,353.653461245218,0.135824,1,2541.53461245218,149,790,56,650.159811144864,
13,13,3520.01575191357,270.77044245489,0.143184,1,2665.01575191357,125,665,65,463.721695168868,
12,12,3546.9736266696,295.5811355558,0.1404827,1,2711.9736266696,122,650,63,290.488429804782,
12,12,3354.56970454185,279.547475378487,0.1381613,1,2451.56970454185,133,710,60,47,
15,15,3675.34574118429,245.023049412286,0.1411557,1,2844.34574118429,120,630,81,210.022933537836,
14,14,3709.56218713339,264.968727652385,0.1583789,1,2677.56218713339,152,810,70,0,
10,10,3798.15609277564,379.815609277564,0.15689,1,2767.15609277564,155,820,56,0,
12,12,3436.53641935785,286.378034946487,0.1605446,1,2432.53641935785,151,790,63,178.382303881504,
15,15,3880.17043324011,258.678028882674,0.1493655,1,3009.17043324011,126,670,75,126.223995652679,
10,10,3502.52253371182,350.252253371182,0.1408181,1,2486.52253371182,153,810,53,392.72925856429,
11,11,3976.80339153564,361.527581048695,0.1534813,1,2854.80339153564,168,890,64,544.160902850529,
13,13,4023.78348030538,309.521806177337,0.1484667,1,2908.78348030538,167,880,68,469.112988016845,
12,12,3687.33380764433,307.277817303694,0.1513452,1,2790.33380764433,130,695,72,0,
16,16,4201.82867837681,262.614292398551,0.1461846,1,3259.82867837681,133,720,89,0,
16,16,3924.38974332935,245.274358958084,0.1450854,1,2982.38974332935,136,720,86,0,
12,12,3509.3145557998,292.442879649983,0.1427652,1,2574.3145557998,137,735,63,268.049604511546,
13,13,4095.23405665985,315.01800435845,0.1399359,1,3276.23405665985,119,635,65,0,
14,14,3677.01376705378,262.643840503841,0.143466,1,2774.01376705378,132,695,76,0,
12,12,3809.13898386251,317.428248655209,0.139792,1,2726.13898386251,163,860,60,0,
11,11,3479.39688836234,316.30880803294,0.1385192,1,2553.39688836234,140,725,61,0,
10,10,3856.14440621042,385.614440621042,0.1374459,1,2938.14440621042,137,725,56,0,
16,16,4057.32601773542,253.582876108463,0.1412517,1,3231.32601773542,117,620,89,0,
16,16,3900.98224220986,243.811390138116,0.139973,1,2918.98224220986,141,755,86,0,
13,13,4075.77416749075,313.521089806981,0.1456911,1,3178.77416749075,129,700,68,0,
14,14,3623.58870784286,258.827764845919,0.1413931,1,2848.58870784286,112,590,73,0,
16,16,3831.84994647768,239.490621654855,0.1380424,1,2895.84994647768,137,710,89,0,
11,11,3501.96035928871,318.36003266261,0.1387882,1,2660.96035928871,125,655,61,155.590508808862,
15,15,3829.7246861998,255.314979079987,0.1427471,1,2935.7246861998,126,690,78,106.468661852933,
11,11,3570.56778957794,324.597071779813,0.1456686,1,2728.56778957794,123,655,64,310.088745090181,
12,12,3216.1918814233,268.015990118608,0.1402086,1,2300.1918814233,138,715,63,738.545214278593,
16,16,4330.73191171226,270.670744482016,0.1423018,1,3418.73191171226,131,695,86,0,
15,15,4174.9410966627,278.32940644418,0.1352291,1,3317.9410966627,124,655,78,221.373311241986,
12,12,3997.12207082315,333.093505901929,0.1411862,1,3151.12207082315,121,650,75,0,
11,11,3467.94573501948,315.26779409268,0.1436999,1,2588.94573501948,131,690,58,259.092213432783,
13,13,3638.1558793833,279.858144567946,0.1407904,1,2712.1558793833,137,715,74,0,
10,10,3418.43021718529,341.843021718529,0.1393127,1,2537.43021718529,131,700,50,657.417767605706,
12,12,3483.33493092376,290.277910910313,0.1397868,1,2704.33493092376,111,605,63,48,
15,15,3625.94756018913,241.729837345942,0.1440367,1,2913.94756018913,99,535,78,0,
14,14,3949.14360073211,282.081685766579,0.1436388,1,3022.14360073211,134,720,73,0,
16,16,3506.43603468628,219.152252167892,0.1388302,1,2716.43603468627,112,595,83,0,
10,10,3256.4900787904,325.64900787904,0.140748,1,2265.4900787904,148,790,53,184.758772260876,
14,14,3395.34527121846,242.52466222989,0.1407605,1,2523.34527121846,125,665,82,349.068838668443,
15,15,3751.23833562911,250.082555708607,0.1365202,1,2671.23833562911,158,835,87,0,
14,14,3988.43976429389,284.888554592421,0.1451434,1,2902.43976429389,158,855,73,216.125682567877,
12,12,3663.43718752289,305.286432293574,0.139311,1,2751.43718752289,134,715,63,48,
10,10,3553.07040223288,355.307040223288,0.1428442,1,2496.07040223288,163,835,59,770.605167349622,
16,16,3613.11503983247,225.819689989529,0.1456089,1,2848.11503983247,106,570,89,0,
11,11,3560.63036595058,323.693669631871,0.1462919,1,2507.63036595058,157,835,61,668.28369885885,
15,15,3880.05844509176,258.670563006117,0.1422057,1,2980.05844509176,132,690,78,190.58078107993,
10,10,3560.71667193089,356.071667193089,0.1401589,1,2448.71667193089,169,890,53,190.1574056801,
12,12,3436.72748591294,286.393957159412,0.1420123,1,2549.72748591294,128,690,69,209.92967692376,
15,15,3576.75621986151,238.450414657434,0.1398677,1,2768.75621986151,114,610,84,233.21748780562,
10,10,3440.7330410087,344.07330410087,0.1430282,1,2421.7330410087,153,810,56,0,
14,14,4115.16597956207,293.940427111576,0.142031,1,3335.16597956207,110,600,70,0,
12,12,4109.01748998958,342.418124165798,0.136808,1,3110.01748998958,149,790,60,0,
16,16,3723.02985940512,232.68936621282,0.1378804,1,2976.02985940512,106,555,86,0,
10,10,3346.59486211255,334.659486211255,0.1398326,1,2475.59486211255,130,685,56,0,
16,16,4121.78422578276,257.611514111423,0.1436705,1,3220.78422578276,126,680,95,0,
16,16,3780.58477791999,236.286548619999,0.1422326,1,2875.58477791999,130,695,80,0,
10,10,3417.01255473314,341.701255473314,0.1494327,1,2534.01255473314,130,700,53,422.953860990445,
13,13,4173.65431565968,321.050331973822,0.1457617,1,3099.65431565968,158,845,71,136.228246990715,
12,12,3912.85686868686,326.071405723905,0.1446242,1,2871.85686868686,155,820,66,367.858874792266,
14,14,3396.66638097833,242.619027212738,0.1406797,1,2486.66638097833,137,700,73,0,
10,10,3366.66942971161,336.666942971161,0.1398947,1,2470.66942971161,135,705,56,969.319530736081,
10,10,3324.14646559585,332.414646559585,0.150808,1,2391.14646559585,140,740,53,186.879015086747,
12,12,4054.18148136974,337.848456780811,0.1456427,1,3065.18148136974,144,770,75,0,
11,11,3494.40776803783,317.673433457984,0.1368584,1,2657.40776803783,124,655,58,54,
11,11,4134.28858609222,375.844416917475,0.1360217,1,3079.28858609222,156,835,64,412.063521053376,
10,10,3893.49554530849,389.349554530849,0.1422824,1,2869.49554530849,153,815,56,0,
15,15,3689.67570329455,245.978380219637,0.1538593,1,2731.67570329455,137,740,81,241.573247861054,
15,15,4058.02306096813,270.534870731209,0.1397777,1,3179.02306096813,126,675,78,202.90246242567,
15,15,3814.56718445924,254.304478963949,0.1459712,1,2797.56718445924,149,790,78,202.256890396975,
14,14,3815.3351089807,272.523936355764,0.1410113,1,2752.3351089807,157,830,76,107.098552086,
13,13,3756.92847669729,288.994498207484,0.1461155,1,2857.92847669729,131,700,68,241.066788887031,
12,12,3625.06251128259,302.088542606882,0.144627,1,2786.06251128259,121,655,63,0,
13,13,3742.63437449535,287.894951884257,0.141468,1,2910.63437449535,122,645,65,574.909144889257,
10,10,3298.63492929517,329.863492929517,0.137985,1,2347.63492929517,145,750,56,275.435920909494,
11,11,3956.42286194715,359.674805631559,0.1382155,1,3063.42286194715,135,700,58,152.805237128548,
14,14,3778.68342650816,269.905959036297,0.1484174,1,2653.68342650816,168,875,82,36,
15,15,3587.99188448408,239.199458965605,0.1443318,1,2608.99188448408,140,755,84,30,
14,14,3718.77798876097,265.626999197212,0.1445845,1,2850.77798876097,124,665,79,194.379573788749,
12,12,3525.61784145355,293.801486787796,0.1418821,1,2471.61784145355,158,830,66,550.223913696122,
16,16,3535.41428473506,220.963392795941,0.1517552,1,2723.41428473506,115,605,92,0,
15,15,4082.81462480364,272.187641653576,0.1407017,1,3301.81462480364,110,590,81,29,
13,13,4000.98128712488,307.767791317298,0.1592252,1,3049.98128712488,138,745,68,285.009214427439,
11,11,3801.87249342941,345.624772129946,0.1404739,1,2757.87249342941,158,825,61,322.877800285516,
10,10,3824.64576268655,382.464576268655,0.1451649,1,2831.64576268655,150,790,53,0,
10,10,3401.92433034028,340.192433034028,0.1337506,1,2517.92433034028,134,700,50,312.520689813801,
11,11,3588.53464817049,326.230422560954,0.1408641,1,2545.53464817049,158,830,55,262.561902517393,
14,14,3824.9572829902,273.2112344993,0.1455626,1,2883.9572829902,140,725,76,0,
13,13,3668.95651408382,282.227424160294,0.1418974,1,2443.95651408382,184,970,71,139.786805919934,
12,12,3537.68971733297,294.807476444415,0.1436383,1,2669.68971733297,130,675,63,0,
14,14,4118.04883235273,294.146345168052,0.1402626,1,3087.04883235273,151,810,70,0,
