Trial,Channel,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,4,23,387.300188248466,387.300188248466,364.300188248466
1,11,447.300188248466,681.49511857415,294.194930325684,234.194930325684
1,9,798.498236206724,955.416228995274,273.921110421124,156.91799278855
1,20,119,1162.36266368759,206.946434692318,1043.36266368759
1,13,77,1203.5373267176,41.1746630300102,1126.5373267176
1,10,59,1343.06276331043,139.525436592832,1284.06276331043
1,14,465.300188248466,1782.34947490857,439.286711598132,1317.0492866601
1,7,41,1917.52885828204,135.17938337347,1876.52885828204
1,3,2094.44477788978,2371.92616902855,454.397310746512,277.481391138767
1,5,2977.01366672536,3181.99238237178,810.066213343236,204.978715646422
1,15,3001.01366672536,3400.53632708665,218.543944714863,399.522660361285
1,18,107,3762.76030092776,362.223973841117,3655.76030092776
1,17,3013.01366672536,3896.72229744263,133.961996514864,883.708630717266
1,6,2983.01366672536,3957.69785559041,60.9755581477825,974.684188865048
2,15,89,325.919306764249,325.919306764249,236.919306764249
2,13,77,480.894099098709,154.97479233446,403.894099098709
2,7,41,558.221170440109,77.3270713413999,517.221170440109
2,6,35,650.793279844355,92.5721094042459,615.793279844355
2,5,29,852.556541941786,201.763262097431,823.556541941786
2,18,930.556541941786,1214.5772696608,362.020727719009,284.020727719009
2,9,888.556541941786,1407.84424475948,193.266975098687,519.287702817695
2,1,858.556541941786,1649.68419670857,241.839951949087,791.127654766782
2,11,900.556541941786,1701.88579633078,52.2015996222094,801.329254388991
2,10,59,1818.3374021277,116.451605796919,1759.3374021277
2,14,2005.56403859709,2228.31653300477,409.979130877071,222.752494407675
2,3,343.919306764249,2322.99555813026,94.6790251254952,1979.07625136601
2,8,47,3285.69548107019,962.699922939923,3238.69548107019
2,17,101,3597.1371493782,311.441668308014,3496.1371493782
2,12,71,3672.60584389909,75.4686945208914,3601.60584389909
3,17,101,321.349676824508,321.349676824508,220.349676824508
3,10,381.349676824508,1032.21010060577,710.860423781262,650.860423781262
3,13,399.349676824508,1328.68293937385,296.47283876808,929.333262549342
3,2,11,1451.86944231664,123.186502942792,1440.86944231664
3,19,1128.21010060577,1706.84930118956,254.979858872916,578.639200583787
3,18,1790.84930118956,1975.59524898222,268.745947792658,184.745947792658
3,3,1987.59524898222,2359.06441820238,383.469169220162,371.469169220162
3,16,3026.62035037077,3212.24468381113,853.180265608755,185.624333440361
3,14,3086.62035037077,3591.47435872253,379.229674911399,504.85400835176
3,9,3068.62035037077,3741.14097886623,149.666620143698,672.520628495458
4,14,83,319.499937946808,319.499937946808,236.499937946808
4,4,620.017138174331,857.706666541898,538.20672859509,237.689528367567
