Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
1,base,,16,16,16,7768.0050846921,485.500317793256,0.390432708333333,1,5472.00508469209,313,1720,263,25,0,10,41,3101.29377973872,2370.71130495338,NaN,NaN
1,split,,16,16,16,7768.0050846921,485.500317793256,0.479325916666667,1,5472.00508469209,313,1720,263,25,0,10,41,3101.29377973872,2370.71130495338,11,0
2,base,,10,10,10,7620.5516163772,762.05516163772,0.258327041666667,1,4928.5516163772,399,2105,188,25,0,6,35,3092.13052059381,1836.42109578339,NaN,NaN
2,split,,10,10,10,7542.95362288335,754.295362288335,0.14582125,1,4921.95362288334,395,2095,131,25,0,4,33,3090.94534377535,1831.00827910799,6,0
3,base,,16,16,16,6827.44949841753,426.715593651096,0.152562708333333,1,5071.44949841753,232,1255,269,23,0,11,40,2845.36209997162,2226.08739844591,NaN,NaN
3,split,,16,16,16,6725.31133457438,420.331958410899,0.156628166666667,1,5005.31133457438,233,1260,227,23,0,10,40,2847.23770959166,2158.07362498272,5,2
4,base,,11,11,11,7390.62062484667,671.874602258788,0.152836958333333,1,5072.62062484667,316,1725,277,25,0,11,22,3274.36314367489,1798.25748117178,NaN,NaN
4,split,,11,11,11,7354.53743806165,668.594312551059,0.138322458333333,1,5075.53743806165,316,1725,238,25,0,10,22,3275.43649075923,1800.10094730242,7,0
5,base,,16,16,16,7636.15681672229,477.259801045143,0.142428208333333,1,5343.15681672228,312,1685,296,25,0,10,39,2847.02901217726,2496.12780454502,NaN,NaN
5,split,,16,16,16,7636.15681672229,477.259801045143,0.139828666666667,1,5343.15681672228,312,1685,296,25,0,10,39,2847.02901217726,2496.12780454502,6,0
6,base,,14,14,14,7301.39092316762,521.527923083401,0.152918791666667,1,5272.39092316762,273,1485,271,25,0,10,37,3110.4485539991,2161.94236916852,NaN,NaN
6,split,,14,14,14,7242.18535902835,517.298954216311,0.158691166666667,1,5267.18535902835,273,1485,217,25,0,8,37,3110.4485539991,2156.73680502925,5,1
7,base,,11,11,11,7409.08889444734,673.553535858849,0.15610175,1,5021.08889444734,336,1820,232,25,0,9,26,3180.36863662488,1840.72025782246,NaN,NaN
7,split,,11,11,11,7374.66123496358,670.423748633053,0.159578416666667,1,5022.66123496358,336,1820,196,25,0,8,26,3181.53747027762,1841.12376468596,7,1
8,base,,14,14,14,7908.97805618852,564.927004013465,0.175452208333333,1,5569.97805618852,325,1755,259,25,0,8,36,3459.6658351545,2110.31222103401,NaN,NaN
8,split,,14,14,14,7801.52547608941,557.251819720672,0.197368666666667,1,5513.52547608941,324,1750,214,25,0,7,35,3459.57517540522,2053.95030068419,5,0
9,base,,13,13,13,7627.99595503376,586.768919617982,0.14052925,1,5267.99595503376,334,1820,206,25,0,8,38,2880.9052294365,2387.09072559726,NaN,NaN
9,split,,13,13,13,7627.99595503376,586.768919617982,0.174467125,1,5267.99595503376,334,1820,206,25,0,8,38,2880.9052294365,2387.09072559726,7,0
