Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
1,base,,15,0,15,6037.47901119156,402.498600746104,1.45179704166667,1,4224.47901119156,257,1385,171,25,0,3,55,2785.96840067868,1438.51061051287,NaN,NaN
1,split,,15,0,15,5947.9306469409,396.52870979606,0.416305208333333,1,4232.9306469409,253,1375,87,25,0,0,53,2789.17624211058,1443.75440483033,0,2
2,base,,13,0,13,6802.76600827267,523.289692944052,0.246692208333333,1,4897.76600827267,253,1395,257,25,0,11,37,2389.45366129277,2508.3123469799,NaN,NaN
2,split,,13,0,13,6793.41791927178,522.570609174752,0.241816708333333,1,4898.41791927178,251,1390,254,25,0,11,36,2390.51510069798,2507.90281857379,0,0
3,base,,11,0,11,6545.72522063865,595.065929148968,0.227712375,1,4400.72522063865,319,1720,106,25,0,3,39,3363.75876890629,1036.96645173236,NaN,NaN
3,split,,11,0,11,6520.35515918932,592.759559926301,0.189038708333333,1,4402.35515918932,319,1720,79,25,0,2,39,3363.22416004377,1039.13099914555,0,0
4,base,,13,0,13,6188.93916282675,476.072243294365,0.232728041666667,1,4207.93916282675,287,1560,134,25,0,3,60,3084.98483780048,1122.95432502626,NaN,NaN
4,split,,13,0,13,6130.74000134939,471.595384719184,0.2652685,1,4186.74000134939,290,1565,89,25,0,1,61,3084.97297401997,1101.76702732942,0,1
5,base,,12,0,12,6853.58920168717,571.132433473931,0.16495925,1,4590.58920168717,345,1825,93,25,0,3,45,3275.01247876032,1315.57672292685,NaN,NaN
5,split,,12,0,12,6832.99304277774,569.416086898145,0.175205416666667,1,4589.99304277774,341,1815,87,25,0,3,43,3274.26929596833,1315.72374680941,0,0
6,base,,14,0,14,6432.41879557352,459.458485398109,0.23274375,1,4474.41879557352,272,1475,211,25,0,6,50,2968.24705330172,1506.17174227181,NaN,NaN
6,split,,14,0,14,6303.97681325047,450.284058089319,0.181957375,1,4421.97681325047,269,1465,148,25,0,4,48,2963.38419018192,1458.59262306855,0,0
7,base,,10,0,10,6484.00178890011,648.400178890011,0.204879916666667,1,4209.00178890011,348,1850,77,25,0,1,44,3196.53584156345,1012.46594733666,NaN,NaN
7,split,,10,0,10,6452.21018784252,645.221018784252,0.166524541666667,1,4187.21018784253,346,1845,74,25,0,1,43,3196.15905502768,991.051132814851,0,0
8,base,,13,0,13,6356.38553872452,488.95273374804,0.158044833333333,1,4283.38553872452,292,1575,206,25,0,7,45,2678.40679845358,1604.97874027095,NaN,NaN
8,split,,13,0,13,6274.87144436813,482.682418797548,0.161807916666667,1,4267.87144436813,292,1575,140,25,0,4,45,2682.13460310889,1585.73684125923,0,1
9,base,,15,0,15,6708.37970925669,447.225313950446,0.187910166666667,1,4523.37970925669,320,1715,150,25,0,2,63,3096.16402883276,1427.21568042393,NaN,NaN
9,split,,15,0,15,6577.08778983255,438.47251932217,0.169581208333333,1,4461.08778983255,320,1715,81,25,0,0,63,3097.96649551496,1363.12129431759,0,1
10,base,,15,0,15,7219.09187965459,481.272791976973,0.177211791666667,1,5343.09187965459,247,1365,264,25,0,7,55,3329.1720477454,2013.91983190919,NaN,NaN
10,split,,15,0,15,7026.02689599129,468.401793066086,0.175722125,1,5222.02689599128,262,1425,117,25,0,1,52,3268.64710101216,1953.37979497913,0,2
11,base,,15,0,15,6620.74407587598,441.382938391732,0.199896,1,4665.74407587599,274,1480,201,25,0,4,65,3007.89095982369,1657.8531160523,NaN,NaN
11,split,,15,0,15,6221.45066545155,414.76337769677,0.24590775,1,4369.45066545155,272,1475,105,25,0,1,64,3007.32886372489,1362.12180172667,0,0
12,base,,15,0,15,6178.31906932046,411.887937954698,0.2043735,1,4227.31906932046,287,1550,114,25,0,3,64,2747.75070410655,1479.56836521391,NaN,NaN
12,split,,15,0,15,6087.01727451459,405.801151634306,0.156911125,1,4146.01727451459,285,1545,111,25,0,2,63,2748.07253888114,1397.94473563345,0,0
13,base,,14,0,14,6223.09629977744,444.506878555532,0.203102291666667,1,4327.09629977744,274,1480,142,25,0,4,52,3047.90780423086,1279.18849554658,NaN,NaN
13,split,,14,0,14,6179.2932016098,441.378085829272,0.197303125,1,4306.2932016098,276,1485,112,25,0,2,53,3047.66949947734,1258.62370213246,0,1
14,base,,15,0,15,6817.08686183869,454.472457455913,0.18893475,1,4647.08686183869,320,1700,150,25,0,4,68,3034.7600924597,1612.32676937899,NaN,NaN
14,split,,15,0,15,6513.21495485887,434.214330323924,0.186341833333333,1,4419.21495485887,316,1685,93,25,0,2,65,3031.45185440346,1387.76310045541,0,1
15,base,,11,0,11,6614.30117324085,601.300106658259,0.157326791666667,1,4381.30117324085,323,1720,190,25,0,5,43,2722.30541081041,1658.99576243044,NaN,NaN
15,split,,11,0,11,6429.7063463853,584.5187587623,0.15536325,1,4258.7063463853,319,1710,142,25,0,4,41,2722.47575398873,1536.23059239657,0,0
16,base,,15,0,15,6412.41243448496,427.494162298997,0.181007583333333,1,4373.41243448496,296,1590,153,25,0,3,57,2798.50618429565,1574.90625018931,NaN,NaN
16,split,,15,0,15,6281.66989777306,418.777993184871,0.228623875,1,4285.66989777307,293,1580,123,25,0,2,55,2797.8377485818,1487.83214919127,0,0
17,base,,13,0,13,6713.05659137016,516.388968566936,0.249933916666667,1,4399.05659137016,329,1755,230,25,0,6,56,2748.99205257918,1650.06453879099,NaN,NaN
17,split,,13,0,13,6617.1011911227,509.007783932515,0.18778825,1,4399.10119112269,323,1740,155,25,0,3,53,2754.68903011272,1644.41216100997,0,0
18,base,,15,0,15,6968.25387829904,464.55025855327,0.196913375,1,5145.25387829904,247,1375,201,25,0,7,53,3095.39649211018,2049.85738618887,NaN,NaN
18,split,,15,0,15,6926.28632265169,461.752421510113,0.214249916666667,1,5139.28632265169,247,1375,165,25,0,6,53,3095.39649211018,2043.88983054152,0,0
19,base,,11,0,11,6248.40385644925,568.036714222659,0.155528916666667,1,4139.40385644925,312,1685,112,25,0,2,42,3229.59175464319,909.812101806063,NaN,NaN
19,split,,11,0,11,6195.54610067493,563.231463697721,0.231268333333333,1,4133.54610067493,314,1690,58,25,0,0,43,3230.30444439628,903.241656278644,0,1
20,base,,15,0,15,6505.06449129793,433.670966086529,0.205624291666667,1,4597.06449129794,256,1385,267,25,0,10,51,2634.37493939639,1962.68955190155,NaN,NaN
20,split,,15,0,15,6475.02420448387,431.668280298925,0.171745041666667,1,4597.02420448387,251,1375,252,25,0,9,49,2632.19040040384,1964.83380408003,0,0
21,base,,15,0,15,6767.50942901567,451.167295267711,0.182070458333333,1,4807.50942901567,267,1435,258,25,0,7,44,3028.9508601637,1778.55856885197,NaN,NaN
21,split,,15,0,15,6424.16388545789,428.277592363859,0.231325375,1,4614.16388545789,262,1425,123,25,0,3,43,3063.44686440469,1550.7170210532,0,0
22,base,,10,0,10,6727.57861907508,672.757861907508,0.188377291666667,1,4423.57861907508,326,1745,233,25,0,7,33,3168.11969835784,1255.45892071724,NaN,NaN
22,split,,10,0,10,6507.31799071643,650.731799071643,0.166987333333333,1,4355.31799071643,322,1735,95,25,0,1,31,3166.36801966405,1188.94997105237,0,0
23,base,,16,0,16,6229.62380343082,389.351487714426,0.279390291666667,1,4432.62380343082,243,1330,224,23,0,5,66,2669.75573169378,1762.86807173704,NaN,NaN
23,split,,16,0,16,6065.57900496473,379.098687810295,0.2203615,1,4381.57900496473,240,1325,119,23,0,2,65,2669.53674989018,1712.04225507455,0,0
24,base,,10,0,10,6493.96909345696,649.396909345696,0.326325333333333,1,4264.96909345696,337,1800,92,25,0,2,40,3016.49013344547,1248.47896001149,NaN,NaN
24,split,,10,0,10,6493.96909345696,649.396909345696,0.224597125,1,4264.96909345696,337,1800,92,25,0,2,40,3016.49013344547,1248.47896001149,0,0
25,base,,16,0,16,5107.79787282534,319.237367051584,0.199007666666667,1,3610.79787282534,209,1130,158,19,0,4,56,2304.81859496037,1305.97927786497,NaN,NaN
25,split,,16,0,16,5107.79787282534,319.237367051584,0.236604208333333,1,3610.79787282534,209,1130,158,19,0,4,56,2304.81859496037,1305.97927786497,0,0
26,base,,12,0,12,6115.69525148093,509.641270956744,0.176183375,1,4121.69525148093,298,1600,96,25,0,3,45,3201.08801176871,920.607239712215,NaN,NaN
26,split,,12,0,12,6115.69525148093,509.641270956744,0.16179675,1,4121.69525148093,298,1600,96,25,0,3,45,3201.08801176871,920.607239712215,0,0
27,base,,14,0,14,6304.64500104642,450.33178578903,0.163363583333333,1,4493.64500104642,258,1405,148,25,0,5,53,3156.98438417752,1336.6606168689,NaN,NaN
27,split,,14,0,14,6263.03646404199,447.359747431571,0.153032375,1,4463.03646404199,260,1410,130,25,0,4,54,3156.68877770646,1306.34768633553,0,1
28,base,,11,0,11,6838.72058473045,621.701871339132,0.162971541666667,1,4840.72058473045,289,1555,154,25,0,6,39,3411.69280262478,1429.02778210567,NaN,NaN
28,split,,11,0,11,6443.45699008692,585.768817280629,0.153904875,1,4482.45699008692,287,1550,124,25,0,5,38,3411.96552805471,1070.49146203221,0,0
29,base,,11,0,11,6323.7097077699,574.882700706354,0.142105625,1,4055.7097077699,339,1820,109,25,0,2,40,2963.00461024207,1092.70509752783,NaN,NaN
29,split,,11,0,11,6323.7097077699,574.882700706354,0.145473666666667,1,4055.7097077699,339,1820,109,25,0,2,40,2963.00461024207,1092.70509752783,0,0
30,base,,16,0,16,6277.00666132236,392.312916332648,0.152836916666667,1,4442.00666132236,246,1320,269,22,0,6,52,2537.7551106886,1904.25155063376,NaN,NaN
30,split,,16,0,16,6209.97333961183,388.123333725739,0.152099791666667,1,4443.97333961183,246,1320,200,22,0,4,52,2536.66982739818,1907.30351221364,0,1
