Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
1,base,,11,9,11,8579.01740935585,779.910673577805,0.692190333333333,1,5791.01740935585,389,2080,319,25,0,11,14,3572.75318360475,2218.26422575111,NaN,NaN
1,split,,11,9,11,8579.01740935585,779.910673577805,0.253794583333333,1,5791.01740935585,389,2080,319,25,0,11,14,3572.75318360475,2218.26422575111,5,0
2,base,,16,9,16,6456.78823335579,403.549264584737,0.179473625,1,4394.78823335579,265,1405,392,17,0,13,26,2069.57346504057,2325.21476831523,NaN,NaN
2,split,,16,9,16,6456.78823335579,403.549264584737,0.175983,1,4394.78823335579,265,1405,392,17,0,13,26,2069.57346504057,2325.21476831523,6,0
3,base,,15,6,15,6892.91698209661,459.527798806441,0.186279583333333,1,4675.9169820966,308,1645,264,25,0,8,29,3042.31650205442,1633.60048004218,NaN,NaN
3,split,,15,6,15,6971.02952612804,464.735301741869,0.176859583333333,1,4786.02952612804,311,1655,219,25,0,8,29,3042.31650205442,1743.71302407361,4,2
4,base,,14,10,14,7631.99256242717,545.142325887655,0.156990416666667,1,5108.99256242717,354,1895,274,25,0,11,22,3355.69953208426,1753.29303034291,NaN,NaN
4,split,,14,10,14,7631.99256242717,545.142325887655,0.148184125,1,5108.99256242717,354,1895,274,25,0,11,22,3355.69953208426,1753.29303034291,6,0
5,base,,13,9,13,7581.6981299052,583.207548454246,0.15149875,1,5131.6981299052,336,1800,314,25,0,10,19,3439.08725185882,1692.61087804638,NaN,NaN
5,split,,13,9,13,7581.6981299052,583.207548454246,0.138697666666667,1,5131.6981299052,336,1800,314,25,0,10,19,3439.08725185882,1692.61087804638,3,0
6,base,,16,11,16,7499.80756699891,468.737972937432,0.137275125,1,5481.80756699891,248,1375,395,22,0,14,23,3212.14513803541,2269.6624289635,NaN,NaN
6,split,,16,11,16,7499.80756699891,468.737972937432,0.146605583333333,1,5481.80756699891,248,1375,395,22,0,14,23,3212.14513803541,2269.6624289635,6,0
