Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
1,base,,14,9,14,7699.53470170896,549.966764407783,0.448867,1,4958.53470170896,374,2015,352,25,0,12,32,2818.52444347625,2140.01025823272,NaN,NaN
1,split,,14,9,14,7625.85948329349,544.704248806677,0.305119875,1,4958.85948329349,376,2020,271,25,0,10,33,2818.95860212118,2139.90088117231,4,1
2,base,,15,11,15,7209.96417505055,480.664278336703,0.212208125,1,4968.96417505056,293,1570,378,25,0,14,30,2940.67620107806,2028.28797397249,NaN,NaN
2,split,,15,11,15,7140.67605627215,476.045070418144,0.194156625,1,4968.67605627215,293,1570,309,25,0,12,30,2941.0008378781,2027.67521839405,3,1
3,base,,14,7,14,7033.47093335773,502.390780954123,0.19383175,1,4956.47093335773,286,1550,241,25,0,7,31,3147.87082996998,1808.60010338775,NaN,NaN
3,split,,14,7,14,7001.97872416458,500.141337440327,0.216888541666667,1,4956.97872416458,288,1555,202,25,0,6,32,3149.26652506955,1807.71219909502,2,1
4,base,,10,8,10,7831.00594058538,783.100594058538,0.208251625,1,5184.00594058538,402,2135,110,25,0,3,24,3432.43152321864,1751.57441736674,NaN,NaN
4,split,,10,8,10,7761.05639897959,776.105639897959,0.178199125,1,5123.05639897959,401,2130,107,25,0,3,23,3432.43152321864,1690.62487576095,3,0
5,base,,14,12,14,7184.27991274806,513.162850910576,0.166020625,1,4712.27991274807,344,1890,238,25,0,12,24,2899.04895811271,1813.23095463536,NaN,NaN
5,split,,14,12,14,7175.12275815193,512.508768439424,0.161098166666667,1,4712.12275815193,343,1885,235,25,0,12,23,2899.04895811271,1813.07380003923,4,0
6,base,,10,7,10,7371.68175158857,737.168175158857,0.149401041666667,1,4601.68175158858,407,2160,203,25,0,7,23,3316.08085978312,1285.60089180546,NaN,NaN
6,split,,10,7,10,7371.68175158857,737.168175158857,0.166014833333333,1,4601.68175158858,407,2160,203,25,0,7,23,3316.08085978312,1285.60089180546,2,0
7,base,,12,4,12,6886.4054112668,573.867117605566,0.168593541666667,1,4369.4054112668,372,1980,165,25,0,4,32,3088.19250122063,1281.21291004616,NaN,NaN
7,split,,12,4,12,6886.4054112668,573.867117605566,0.177599958333333,1,4369.4054112668,372,1980,165,25,0,4,32,3088.19250122063,1281.21291004616,1,0
8,base,,12,11,12,7212.84260632533,601.070217193778,0.158726791666667,1,4630.84260632533,368,1980,234,25,0,7,24,2971.42878545752,1659.41382086781,NaN,NaN
8,split,,12,11,12,7212.84260632533,601.070217193778,0.164018708333333,1,4630.84260632533,368,1980,234,25,0,7,24,2971.42878545752,1659.41382086781,2,0
9,base,,16,1,16,7173.35277155128,448.334548221955,0.148598166666667,1,5284.35277155129,257,1390,242,24,0,9,41,2888.57066253246,2395.78210901883,NaN,NaN
9,split,,16,1,16,7161.77737438254,447.611085898909,0.145276916666667,1,5282.77737438255,255,1385,239,24,0,9,40,2888.57066253246,2394.20671185009,1,0
10,base,,13,12,13,7758.08000480587,596.775384985067,0.154321166666667,1,5278.08000480587,354,1905,221,25,0,7,29,3186.4849206231,2091.59508418277,NaN,NaN
10,split,,13,12,13,7870.61734217538,605.43210324426,0.174674083333333,1,5373.61734217539,355,1915,227,25,0,7,29,3186.4849206231,2187.13242155228,7,2
11,base,,12,8,12,7983.20819971851,665.267349976543,0.152701208333333,1,5189.20819971852,404,2165,225,25,0,9,26,3035.96379995467,2153.24439976384,NaN,NaN
11,split,,12,8,12,7965.29825834244,663.77485486187,0.159176625,1,5189.29825834245,404,2165,207,25,0,8,26,3035.55566599599,2153.74259234645,2,1
12,base,,16,1,16,7598.95214977843,474.934509361152,0.186739708333333,1,5554.95214977843,272,1485,287,25,0,11,42,2941.26341594726,2613.68873383116,NaN,NaN
12,split,,16,1,16,7598.95214977843,474.934509361152,0.166973166666667,1,5554.95214977843,272,1485,287,25,0,11,42,2941.26341594726,2613.68873383116,1,0
13,base,,16,8,16,7651.22374962137,478.201484351336,0.170323333333333,1,5336.22374962137,321,1710,284,24,0,10,40,2835.94525162648,2500.27849799489,NaN,NaN
13,split,,16,8,16,7665.02804259844,479.064252662402,0.166961083333333,1,5357.02804259843,322,1720,266,24,0,9,42,2837.40777549746,2519.62026710097,3,2
14,base,,13,3,13,7611.06555768731,585.466581360562,0.164914833333333,1,5193.06555768731,326,1730,362,25,0,10,29,2857.10246224712,2335.96309544019,NaN,NaN
14,split,,13,3,13,7602.71140544247,584.823954264805,0.168404541666667,1,5194.71140544247,324,1725,359,25,0,10,28,2859.13924308404,2335.57216235844,0,0
15,base,,11,4,11,7762.41395244071,705.673995676428,0.154711375,1,5184.41395244071,363,1935,280,25,0,8,24,2847.2710388522,2337.14291358851,NaN,NaN
15,split,,11,4,11,7725.78194266849,702.343812969863,0.148359791666667,1,5178.78194266849,363,1940,244,25,0,7,25,2846.42108984531,2332.36085282319,1,2
16,base,,10,9,10,7136.11349413555,713.611349413555,0.153885541666667,1,4436.11349413555,402,2140,158,25,0,9,20,3060.87384155281,1375.23965258275,NaN,NaN
16,split,,10,9,10,7136.11349413555,713.611349413555,0.149994791666667,1,4436.11349413555,402,2140,158,25,0,9,20,3060.87384155281,1375.23965258275,3,0
17,base,,13,4,13,7303.58750713867,561.814423626051,0.146723125,1,4809.58750713866,363,1925,206,25,0,5,31,3070.72242495589,1738.86508218277,NaN,NaN
17,split,,13,4,13,7316.55342654655,562.811802042042,0.150196166666667,1,4837.55342654655,365,1935,179,25,0,4,33,3072.59045577937,1764.96297076718,0,2
18,base,,14,10,14,8047.10749248413,574.793392320295,0.162478916666667,1,5501.10749248413,351,1900,295,25,0,9,29,2926.48133122684,2574.62616125729,NaN,NaN
18,split,,14,10,14,8005.50080563069,571.821486116478,0.16002675,1,5500.50080563069,348,1895,262,25,0,8,28,2930.20972401163,2570.29108161907,5,0
19,base,,15,9,15,6829.88221758012,455.325481172008,0.153886416666667,1,4618.88221758012,314,1690,207,25,0,9,35,2923.1070219629,1695.77519561722,NaN,NaN
19,split,,15,9,15,6807.35215211383,453.823476807589,0.169361166666667,1,4614.35215211383,315,1695,183,25,0,8,36,2877.00527693758,1737.34687517625,0,2
20,base,,13,1,13,6720.8939758913,516.991844299331,0.144477041666667,1,4575.8939758913,307,1635,203,25,0,7,32,3044.4024940171,1531.49148187419,NaN,NaN
20,split,,13,1,13,6673.82014872355,513.370780671042,0.161414125,1,4573.82014872355,306,1630,164,25,0,5,31,3044.89859772424,1528.92155099931,0,1
21,base,,10,7,10,6993.25317985477,699.325317985477,0.199684083333333,1,4393.25317985477,386,2050,164,25,0,5,23,3062.55649377035,1330.69668608442,NaN,NaN
21,split,,10,7,10,6993.25317985477,699.325317985477,0.155855625,1,4393.25317985477,386,2050,164,25,0,5,23,3062.55649377035,1330.69668608442,2,0
22,base,,12,10,12,7475.22848464692,622.93570705391,0.145033708333333,1,4997.22848464693,347,1885,246,25,0,10,22,3157.67007631756,1839.55840832936,NaN,NaN
22,split,,12,10,12,7454.9996446223,621.249970385192,0.153397416666667,1,4997.9996446223,348,1890,219,25,0,8,23,3157.67007631756,1840.32956830474,2,1
23,base,,11,1,11,6874.87275011685,624.988431828805,0.158524458333333,1,4598.87275011685,329,1760,187,25,0,4,28,3093.73283524907,1505.13991486777,NaN,NaN
23,split,,11,1,11,6809.62059778723,619.056417980657,0.14669675,1,4542.62059778723,328,1755,184,25,0,4,27,3093.73283524907,1448.88776253815,0,1
24,base,,16,3,16,6559.74285309418,409.983928318386,0.146206791666667,1,4573.74285309417,263,1415,308,23,0,9,40,2600.96067174427,1972.7821813499,NaN,NaN
24,split,,16,3,16,6458.219381446,403.638711340375,0.13554525,1,4569.219381446,266,1420,203,23,0,6,41,2603.77719298794,1965.44218845805,0,2
25,base,,14,5,14,7262.9505179665,518.78217985475,0.148254875,1,5040.95051796651,301,1650,271,25,0,9,36,2716.8329196395,2324.117598327,NaN,NaN
