Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
1,base,,14,11,14,7598.07903788678,542.719931277627,0.76652325,1,5363.07903788678,299,1620,316,25,0,10,41,3090.39797126371,2272.68106662307,NaN,NaN
1,split,,14,11,14,7451.92748984007,532.280534988577,0.307535416666667,1,5268.92748984007,297,1615,271,25,0,9,40,3093.57540858094,2175.35208125914,6,0
2,base,,16,12,16,7420.84727178601,463.802954486626,0.249805083333333,1,5245.84727178601,308,1655,212,25,0,6,63,3171.48941902454,2074.35785276147,NaN,NaN
2,split,,16,12,16,7277.96016442592,454.87251027662,0.194434875,1,5140.96016442593,310,1660,167,25,0,5,63,3169.59589985431,1971.36426457161,5,1
3,base,,11,3,11,7415.66866419725,674.151696745204,0.165734666666667,1,5174.66866419724,332,1785,124,25,0,5,31,3519.96332101342,1654.70534318382,NaN,NaN
3,split,,11,3,11,7415.66866419725,674.151696745204,0.163140041666667,1,5174.66866419724,332,1785,124,25,0,5,31,3519.96332101342,1654.70534318382,3,0
4,base,,13,7,13,6907.43824676797,531.341403597536,0.169399,1,4551.43824676796,325,1750,281,25,0,7,39,2688.56472254443,1862.87352422353,NaN,NaN
4,split,,13,7,13,6797.3438446806,522.872603436969,0.176200333333333,1,4552.3438446806,325,1750,170,25,0,4,39,2690.53983108154,1861.80401359906,3,0
5,base,,12,5,12,6735.53796400104,561.29483033342,0.17244525,1,4455.53796400104,334,1790,156,25,0,7,37,2767.96484644412,1687.57311755692,NaN,NaN
5,split,,12,5,12,6735.53796400104,561.29483033342,0.167468833333333,1,4455.53796400104,334,1790,156,25,0,7,37,2767.96484644412,1687.57311755692,1,0
6,base,,10,9,10,7641.49193002869,764.149193002869,0.1455205,1,5192.49193002869,358,1915,176,25,0,7,29,3192.63603984991,1999.85589017878,NaN,NaN
6,split,,10,9,10,7302.0936297667,730.20936297667,0.143077958333333,1,4911.0936297667,359,1910,122,25,0,5,27,3197.42151963456,1713.67211013214,6,2
7,base,,10,3,10,6657.58335022328,665.758335022328,0.138051,1,4263.58335022328,355,1890,149,25,0,7,28,3136.2505656682,1127.33278455508,NaN,NaN
