N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
13,13,13,6603.71564586067,507.978126604667,0.705158625,1,4473.71564586067,299,1610,221,110.497717063309,25,0,6,40,2834.46189336464,1639.25375249604,
14,14,14,7162.01556383499,511.572540273928,0.314367125,1,5067.01556383499,298,1610,187,104.006516267724,25,0,7,40,3041.95285100579,2025.0627128292,
10,10,10,7508.55817682716,750.855817682716,0.210345875,1,4847.55817682716,405,2155,101,0,25,0,2,36,3421.54357687554,1426.01459995162,
10,10,10,7152.02761693965,715.202761693965,0.184080916666667,1,4766.02761693965,361,1930,95,0,25,0,2,29,3079.50525682513,1686.52236011452,
15,15,15,7129.56685432273,475.304456954848,0.251859916666667,1,5046.56685432272,276,1510,297,844.473095004847,25,0,8,45,2879.87351450655,2166.69333981617,
15,15,15,7548.63912343804,503.242608229203,0.1841765,1,5490.63912343804,294,1575,189,0,25,0,5,47,3076.90967226369,2413.72945117436,
12,12,12,7017.7148207688,584.8095683974,0.167811416666667,1,4754.7148207688,317,1715,231,948.012628774167,25,0,9,30,3193.88678265769,1560.82803811111,
13,13,13,7529.33014210557,579.179241700428,0.158029291666667,1,5323.33014210557,295,1615,296,329.333449837898,25,0,9,36,2841.63046212457,2481.699679981,
13,13,13,8163.09504974758,627.930388442121,0.17286775,1,5524.09504974758,380,2035,224,0,25,0,9,37,3290.38820590592,2233.70684384166,
12,12,12,8531.56004953935,710.963337461612,0.178919166666667,1,5834.56004953934,399,2145,153,0,25,0,5,38,3143.06585495699,2691.49419458236,
11,11,11,7184.07941733483,653.098128848621,0.156179958333333,1,4833.07941733483,336,1795,220,231.335525508312,25,0,7,34,3055.90762326323,1777.1717940716,
16,16,16,7177.60415914422,448.600259946514,0.197186,1,5081.60415914423,280,1535,281,0,22,0,12,42,2662.25346505453,2419.35069408969,
14,14,14,7583.33132824176,541.66652344584,0.182931791666667,1,5488.33132824176,289,1580,226,1581.22757289066,25,0,10,39,3494.11581874578,1994.21550949598,
15,15,15,7962.64244075927,530.842829383951,0.221546041666667,1,5481.64244075927,357,1920,204,301.830415948869,25,0,7,52,3110.15432046127,2371.488120298,
14,14,14,7525.30112169086,537.521508692204,0.15447975,1,5423.30112169086,279,1525,298,838.93191938696,25,0,11,30,2996.81684772797,2426.48427396289,
11,11,11,7127.89279188614,647.990253807831,0.169345041666667,1,4877.89279188614,322,1750,178,310.851229644812,25,0,5,27,3337.84099589737,1540.05179598877,
12,12,12,6819.57693600916,568.298078000763,0.155260208333333,1,4431.57693600916,347,1855,186,137.878100992087,25,0,6,32,2820.03906037066,1611.5378756385,
13,13,13,7071.51434078704,543.962641599003,0.218869666666667,1,4959.51434078703,300,1615,197,429.918075735637,25,0,7,36,3132.9113716029,1826.60296918413,
15,15,15,7452.07533120623,496.805022080416,0.266862291666667,1,5467.07533120623,274,1480,231,549.741937964861,25,0,11,42,3271.60835714859,2195.46697405764,
10,10,10,7017.69297630241,701.769297630241,0.156648791666667,1,4446.69297630241,361,1920,290,341.855451182691,25,0,9,29,2759.80995632142,1686.88301998099,
