N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
14,1,14,6200.92544505038,442.923246075027,0.92035,1,4176.92544505037,258,1375,391,1543.55294929038,25,0,13,26,2491.79070212581,1685.13474292456,
11,3,11,7304.32058948023,664.029144498202,0.356052708333333,1,4698.32058948023,360,1915,331,604.624389694221,25,0,10,19,3040.11010121619,1658.21048826405,
11,7,11,8034.3309055706,730.393718688237,0.274491541666667,1,5245.33090557061,414,2185,190,0,25,0,7,23,3751.91727791377,1493.41362765684,
15,14,15,9187.5057087564,612.50038058376,0.195965,1,6152.50570875638,407,2175,453,0,25,0,14,18,3578.45124190596,2574.05446685043,
12,2,12,6762.18233461314,563.515194551095,0.163351166666667,1,4607.18233461314,305,1610,240,1379.19592549681,25,0,8,22,3269.91202251742,1337.27031209572,
11,10,11,8139.6692285773,739.969929870664,0.180794208333333,1,5170.66922857731,438,2320,211,196.854062010089,25,0,8,16,3729.85011378655,1440.81911479076,
13,8,13,7302.44819175341,561.726783981032,0.144520333333333,1,4858.44819175341,331,1775,338,0,25,0,12,19,3146.7046691257,1711.74352262772,
15,8,15,7986.8285308693,532.455235391287,0.140806,1,5702.8285308693,294,1600,390,663.412912772714,25,0,13,24,3415.83733976777,2286.99119110153,
13,2,13,6889.93887033988,529.995297718452,0.13689275,1,4711.93887033988,304,1620,254,188.716062663412,25,0,10,24,3229.65336629331,1482.28550404658,
15,10,15,8273.89014369512,551.592676246341,0.153327375,1,5816.89014369512,331,1775,351,222.897721938164,25,0,10,24,3428.02498716354,2388.86515653159,
10,9,10,7735.79540744741,773.579540744741,0.142935541666667,1,5029.79540744742,380,2030,296,1283.27263123134,25,0,9,12,3446.60210872481,1583.19329872261,
14,12,14,8215.28239278172,586.805885198694,0.157054458333333,1,5458.28239278172,381,2045,331,0,25,0,11,21,3330.57248647207,2127.70990630966,
11,10,11,8202.79072138205,745.708247398368,0.151508083333333,1,5150.79072138206,437,2320,295,461.842067234978,25,0,10,14,3533.91729106946,1616.8734303126,
12,7,12,7728.01042292248,644.000868576873,0.142378625,1,5136.01042292249,368,1960,264,0,25,0,9,19,3287.80536481099,1848.2050581115,
16,5,16,7263.90203307232,453.99387706702,0.139873791666667,1,5204.90203307233,254,1380,425,0,25,0,13,28,2736.46109954966,2468.44093352267,
15,6,15,7064.38856340966,470.959237560644,0.13911475,1,4824.38856340966,309,1655,276,0,25,0,9,27,3121.00083316873,1703.38773024093,
13,1,13,7381.64426208459,567.818789391122,0.149642916666667,1,4980.64426208459,330,1730,341,776.887372752655,25,0,9,28,3037.62500216412,1943.01925992047,
13,9,13,8100.22473691207,623.094210531697,0.265963541666667,1,5400.22473691207,374,2000,326,0,25,0,10,20,3502.58168110674,1897.64305580533,
15,12,15,8350.8228538476,556.72152358984,0.143427708333333,1,5904.8228538476,320,1730,396,162.379183487918,25,0,13,20,3362.80066309625,2542.02219075136,
10,7,10,7548.21958641622,754.821958641622,0.144748541666667,1,4726.21958641622,407,2170,245,0,25,0,9,16,3158.73498584613,1567.4846005701,
