Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,19,0,428,637.400481708157,637.400481708157,209.400481708157
1,4,0,751.955629420419,990.634312768606,353.233831060449,238.678683348187
1,6,0,1117.05609825669,1378.55182875258,387.917515983973,261.495730495889
1,9,0,1459.66402622973,1663.96598581444,285.414157061861,204.301959584713
1,13,0,1798.82925185857,1957.6946642786,293.728678464158,158.865412420033
1,8,0,1774.82925185857,2032.10585056481,74.411186286208,257.276598706241
1,2,0,2463.94038960672,2677.85759089705,645.751740332248,213.917201290338
1,1,0,2457.94038960672,2720.5939063701,42.7363154730406,262.653516763379
1,17,0,2895.22485971947,3162.27137424901,441.677467878917,267.046514529542
1,7,0,3196.72403679563,3424.81210066201,262.540726412998,228.088063866378
1,16,0,3518.20330907894,3740.00320906641,315.191108404399,221.799899987471
1,5,0,4029.70273341977,4214.25337060565,474.250161539243,184.550637185883
1,12,0,386,4431.39037762079,217.137007015138,4045.39037762079
1,10,1,4348.52983901127,4657.37249576,225.982118139206,308.842656748728
2,18,0,1074.05371141687,1290.40713123853,1290.40713123853,216.353419821659
2,20,1,2097.34889197883,2329.40530043933,1038.9981692008,232.056408460499
2,14,0,2593.03422363111,2727.20632116269,397.801020723356,134.172097531578
2,12,0,2581.03422363111,2824.0416662104,96.8353450477139,243.007442579292
2,17,0,3259.51042764538,3438.44804013984,614.406373929437,178.937612494464
2,11,0,3937.70509943301,4145.83125138028,707.383211240444,208.12615194727
2,19,0,4268.14827039709,4522.80684607371,376.975594693425,254.658575676623
2,16,0,4616.23923781523,4825.50637564029,302.699529566586,209.267137825062
2,6,0,5029.16527925546,5216.7115054046,391.205129764306,187.546226149139
2,9,1,3925.70509943301,6526.2100500771,1309.4985446725,2600.50495064409
2,5,1,3901.70509943301,6699.69619978601,173.486149708903,2797.99110035299
3,12,0,2124.80989711166,2376.96172261642,2376.96172261642,252.151825504757
3,7,1,2792.96071888825,3031.12975823636,654.168035619943,238.169039348112
3,14,1,3541.62759690732,3704.70227687828,673.57251864192,163.074679970959
3,3,0,332,4529.74274878077,825.040471902487,4197.74274878077
3,10,0,3523.62759690732,4627.74347753517,98.0007287543967,1104.11588062784
3,8,1,2798.96071888825,5309.1193595076,681.375881972431,2510.15864061935
3,18,1,5729.25602523387,5851.39933429736,542.279974789764,122.143309063492
3,17,1,6194.54412799976,6320.13773166708,468.738397369715,125.593603667314
3,11,1,6906.82853365031,7092.84967814636,772.711946479279,186.021144496047
3,19,0,428,7708.06101077645,615.211332630093,7280.06101077645
3,9,1,7777.27449711011,8034.3309055706,326.269894794154,257.056408460498
4,5,0,2082.80989711166,3262.83215781437,3262.83215781437,1180.02226070271
4,17,1,3432.85032802166,3620.86811307957,358.035955265202,188.017785057919
4,11,1,3812.93851658481,3967.05523146304,346.187118383464,154.116714878232
4,13,1,3408.85032802166,4267.53996130688,300.484729843838,858.689633285221
4,20,1,4525.17255239518,4726.78527629949,459.245314992611,201.612723904304
4,10,1,5006.57523558933,5275.63164404983,548.846367750343,269.056408460498
4,18,1,5533.71892356527,5667.48462570544,391.852981655608,133.765702140166
4,12,1,5509.71892356527,5961.60492758537,294.120301879935,451.886004020102
4,4,1,5479.71892356527,6149.46731389356,187.862386308186,669.748390328287
4,15,1,6887.19978863722,7085.66461768946,936.1973037959,198.46482905224
4,16,1,7372.8043917367,7611.8608001972,526.196182507739,239.056408460498
4,3,1,8079.93653215385,8342.99294061436,731.132140417161,263.056408460506
4,8,1,8097.93653215385,8573.41779717461,230.424856560248,475.481265020754
4,1,1,8770.10970648644,8898.65821433333,325.240417158717,128.548507846886
4,7,1,8788.10970648644,9187.5057087564,288.847494423075,399.396002269961
5,5,0,344,638.391400174021,638.391400174021,294.391400174021
5,3,0,332,859.670558694174,221.279158520153,527.670558694174
5,11,0,786.597526490864,1041.00996663761,181.339407943439,254.412440146749
5,15,1,1151.54139923819,1333.41464888217,292.404682244561,181.873249643983
5,2,0,1714.82327383757,2040.89000134996,707.475352467789,326.066727512397
5,8,0,2106.32365313675,2284.67178201093,243.781780660963,178.348128874177
5,7,0,2682.75180125256,2841.64999506525,556.978213054327,158.89819381269
5,1,0,2950.10826639711,3131.12524019799,289.475245132733,181.016973800876
5,16,1,3280.40906920266,3527.31758281109,396.192342613107,246.908513608434
5,10,0,4945.89852776024,5192.10375444388,1664.78617163279,246.205226683642
5,20,0,4981.89852776024,5339.21383885942,147.110084415543,357.315311099185
5,17,0,4969.89852776024,5382.98640911633,43.7725702569041,413.087881356089
6,13,1,3409.69417653096,3617.86321587908,3617.86321587908,208.169039348112
6,11,1,3930.23002888061,4086.35867775957,468.49546188049,156.128648878952
6,5,1,4703.99301737828,5009.04942583878,922.69074807921,305.056408460498
