N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
15,11,15,7648.97391611629,509.931594407753,0.255175041666667,1,5039.97391611629,375,2030,204,0,25,0,7,31,2853.73361272781,2186.24030338848,
15,7,15,7071.86379904847,471.457586603231,0.262180291666667,1,5126.86379904847,257,1430,258,201.425654311225,25,0,11,31,3053.87062667306,2072.9931723754,
10,6,10,6716.89235366598,671.689235366598,0.266386833333333,1,4194.89235366598,375,1995,152,915.327060402889,25,0,7,21,3018.6434952962,1176.24885836978,
10,1,10,6685.83938428671,668.583938428671,0.220787833333333,1,4247.83938428671,367,1955,116,129.977384084643,25,0,3,25,3088.00789518745,1159.83148909926,
16,8,16,7265.32314595884,454.082696622427,0.304602625,1,5101.32314595883,281,1530,353,0,22,0,9,35,2590.53763132153,2510.7855146373,
10,6,10,7034.6076847968,703.46076847968,0.194870291666667,1,4738.6076847968,335,1800,161,192.147853121928,25,0,8,20,3321.00520774147,1417.60247705533,
13,1,13,7021.18659887398,540.09127683646,0.1677665,1,4865.18659887397,302,1630,224,371.766006421475,25,0,8,29,3197.94445552382,1667.24214335015,
12,7,12,7708.64062142717,642.386718452264,0.175016708333333,1,4980.64062142717,403,2145,180,0,25,0,4,30,3075.93491282109,1904.70570860609,
14,6,14,7586.82264460478,541.915903186056,0.183006583333333,1,5086.82264460479,371,1960,169,0,25,0,4,38,3111.42162281649,1975.40102178829,
10,1,10,6424.0885108308,642.40885108308,0.212300291666667,1,4209.0885108308,321,1715,179,1023.72050308494,25,0,5,24,3224.79118921778,984.297321613024,
14,12,14,7932.87892404484,566.634208860346,0.194407291666667,1,5152.87892404484,392,2120,268,179.122678740112,25,0,12,21,3196.76620240565,1956.11272163919,
14,6,14,7024.94415318627,501.78172522759,0.25254625,1,4674.94415318627,338,1810,202,171.766623195543,25,0,6,34,3170.16129054083,1504.78286264545,
10,3,10,7106.1552581908,710.61552581908,0.152827291666667,1,4796.1552581908,337,1800,173,877.98057521296,25,0,7,22,3501.45942880923,1294.69582938157,
15,12,15,8510.6796045978,567.37864030652,0.149960208333333,1,5975.6796045978,333,1830,372,160.843630694661,25,0,12,33,3015.14663557064,2960.53296902716,
16,12,16,7498.81982056514,468.676238785321,0.166116541666667,1,4917.81982056514,356,1920,305,0,24,0,11,38,2328.94724617532,2588.87257438981,
16,4,16,6497.4752822052,406.092205137825,0.201739583333333,1,4224.4752822052,327,1755,191,0,23,0,7,48,2628.64342116694,1595.83186103827,
11,9,11,7388.59582125454,671.690529204958,0.162186708333333,1,4751.59582125453,390,2075,172,623.494428671716,25,0,6,23,3037.67267728947,1713.92314396506,
12,1,12,6269.7225042626,522.476875355217,0.156259291666667,1,4129.72250426261,323,1730,87,565.618643445102,25,0,1,33,2884.04189855361,1245.68060570899,
13,3,13,6662.10432107294,512.469563159457,0.151526,1,4635.10432107295,283,1535,209,1413.51645367646,25,0,7,30,3157.10930309407,1477.99501797887,
15,2,15,6886.66479931572,459.110986621048,0.164777125,1,4947.66479931572,263,1415,261,772.328330614371,25,0,10,36,3060.74227056236,1886.92252875336,
