Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,10,0,59,337.65784782266,337.65784782266,278.65784782266
1,13,0,77,598.333600371317,260.675752548656,521.333600371317
1,7,1,2421.26767033431,2800.05572638148,2201.72212601016,378.788056047169
1,9,1,2433.26767033431,3077.10715086771,277.051424486227,643.839480533396
1,19,1,3524.12386304248,3644.55342813027,567.446277262561,120.429565087789
1,18,1,4331.18264361907,4530.56892600812,886.015497877856,199.386282389058
1,20,1,5346.60261118572,5583.20750841638,1052.63858240825,236.604897230653
1,5,0,1901.16487283941,6197.99329211802,614.785783701645,4296.82841927862
1,17,1,2469.26767033431,6299.33902217361,101.345730055585,3830.0713518393
1,15,0,2154.51610997836,6405.55385875528,106.21483658167,4251.03774877691
1,14,1,6501.06898240469,6616.09641969549,210.542560940208,115.027437290799
1,6,1,6477.06898240469,6716.43667378882,100.340254093336,239.367691384135
1,4,1,6879.04723506326,7072.85684513661,356.420171347793,193.809610073351
1,11,1,5316.60261118572,7298.68328046434,225.826435327726,1982.08066927862
1,2,1,7412.21329735992,7648.97391611629,350.29063565195,236.760618756369
2,3,0,17,306.356803109228,306.356803109228,289.356803109228
2,4,0,583.628653414002,851.56369314728,545.206890038052,267.935039733278
2,7,0,601.628653414002,1061.72697671063,210.163283563347,460.098323296624
2,16,0,438.277416275044,1135.18670923262,73.4597325219897,696.909292957572
2,14,1,973.594155164997,1293.72806289066,158.541353658047,320.133907725666
2,6,1,925.594155164997,1536.82767402494,243.099611134273,611.233518859939
2,8,1,937.594155164997,1667.28603865165,130.458364626718,729.691883486656
2,2,0,2615.64938701767,2979.63540231025,1312.3493636586,363.986015292581
2,10,1,2633.64938701767,3220.15566587808,240.520263567824,586.506278860405
2,5,1,3577.03753997402,3740.85074306285,520.695077184773,163.813203088836
2,9,0,3583.03753997402,3887.05447327873,146.203730215879,304.016933304714
2,1,0,3927.94253013113,4112.46225523155,225.407781952822,184.519725100423
