N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
14,11,14,7318.50752063196,522.750537187997,0.935416708333333,1,5089.50752063195,301,1615,313,111.299221638578,25,0,12,44,2958.83546126262,2130.67205936933,
16,12,16,6894.627938616,430.9142461635,0.30383525,1,4926.627938616,269,1445,254,0,22,0,8,58,2466.25120443865,2460.37673417735,
11,3,11,7027.75840812245,638.887128011132,0.19146875,1,4753.75840812245,334,1780,160,0,25,0,6,32,3132.07132514812,1621.68708297433,
13,7,13,7173.49163051524,551.807048501172,0.242945916666667,1,4740.49163051524,348,1870,215,368.645108192361,25,0,8,43,2913.78200494803,1826.70962556721,
12,5,12,6764.67055186085,563.722545988404,0.151295166666667,1,4451.67055186084,334,1790,189,498.513002230781,25,0,8,37,2762.67327897009,1688.99727289075,
10,9,10,6954.28090654999,695.428090654999,0.124488333333333,1,4766.28090654999,320,1725,143,1812.39443844164,25,0,7,26,3216.70057940552,1549.58032714447,
10,3,10,6668.62047271354,666.862047271354,0.154198875,1,4271.62047271355,355,1890,152,196.321722190708,25,0,7,28,3133.64252372412,1137.97794898943,
15,11,15,7501.93369756932,500.128913171288,0.13635425,1,5601.93369756932,252,1375,273,1032.91694257506,25,0,9,38,3357.51904933392,2244.4146482354,
10,4,10,6039.47282710532,603.947282710532,0.129910708333333,1,3952.47282710532,313,1685,89,1709.81694762659,25,0,3,32,3020.05503138124,932.417795724078,
15,5,15,7337.18656387472,489.145770924981,0.20788275,1,5244.18656387472,296,1590,207,596.329639637955,25,0,5,58,3256.01833400619,1988.16822986853,
16,15,16,7984.84634212147,499.052896382592,0.131342541666667,1,5560.84634212147,331,1800,293,0,23,0,10,50,3000.6244287186,2560.22191340287,
12,10,12,7046.75475856133,587.229563213444,0.151854833333333,1,4935.75475856133,299,1635,177,0,25,0,8,33,3087.3321142802,1848.42264428114,
11,10,11,7521.1803216709,683.743665606446,0.122185125,1,4960.18032167091,363,1930,268,0,25,0,8,31,3509.2271227112,1450.95319895971,
