Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,7,0,41,341.011064517369,341.011064517369,300.011064517369
1,10,0,59,617.925192665194,276.914128147824,558.925192665194
1,3,1,370.989184740971,983.506152041955,365.580959376761,612.516967300984
1,17,1,1562.40312753032,1856.34646537131,872.840313329352,293.943337840991
1,5,1,1701.75436466927,2047.15273513599,190.806269764681,345.398370466714
1,9,1,2795.46203833991,2975.03949827977,927.886763143781,179.577459939854
1,11,1,2801.46203833991,3132.31615722185,157.276658942086,330.854118881939
1,4,1,23,3863.62353457494,731.307377353089,3840.62353457494
1,13,0,77,4262.77705973674,399.153525161801,4185.77705973674
1,20,1,1773.75436466927,4624.57031255847,361.79325282173,2850.8159478892
1,18,1,2267.30402304695,5173.42719287522,548.856880316747,2906.12316982827
1,15,1,1749.75436466927,5441.34421101536,267.917018140141,3691.58984634609
1,6,1,5634.84074900011,5823.65896896586,382.314757950494,188.818219965749
1,14,1,430.989184740971,7207.20829899338,1383.54933002752,6776.21911425241
2,1,0,5,420.939401788693,420.939401788693,415.939401788693
2,3,0,17,1115.09661722033,694.157215431635,1098.09661722033
2,18,1,107,1315.98723400998,200.89061678965,1208.98723400998
2,17,1,101,1449.54598485825,133.558750848274,1348.54598485825
2,13,1,77,1791.34259561353,341.79661075528,1714.34259561353
2,19,1,1674.00762934825,1988.38381648916,197.041220875625,314.376187140905
2,9,1,2659.45859518516,2959.42137438077,971.037557891613,299.962779195609
2,10,1,566.953545322207,3313.22219876766,353.800824386892,2746.26865344545
2,11,1,65,3750.30294975705,437.080750989392,3685.30294975705
2,6,1,35,3924.83686720632,174.533917449264,3889.83686720632
2,7,1,3818.7053132372,4057.04613052163,132.209263315318,238.340817284432
2,12,1,2127.40488376829,5455.14884859392,1398.10271807228,3327.74396482563
2,8,0,983.656019600123,6255.3781085111,800.229259917184,5271.72208891098
2,14,0,1019.65601960012,6449.69431219789,194.316203686787,5430.03829259776
2,5,1,6355.11006420801,6653.58594785656,203.891635658669,298.475883648549
2,15,1,2139.40488376829,6894.627938616,241.041990759445,4755.22305484771
3,1,0,5,341.008820439835,341.008820439835,336.008820439835
3,7,0,422.164109569857,700.022037040853,359.013216601018,277.857927470996
3,16,0,1785.59475946133,2075.40146840995,1375.3794313691,289.806708948622
3,19,0,1803.59475946133,2329.08343791007,253.681969500121,525.488678448743
3,9,0,2469.81177147952,2640.53033596243,311.446898052363,170.718564482915
3,14,0,2806.1953000662,2956.95097808634,316.420642123907,150.755678020147
3,15,0,2812.1953000662,3106.95727089393,150.006292807586,294.761970827733
3,13,1,5025.75628468218,5315.43400638448,2208.47673549055,289.677721702304
3,5,1,5968.95313366753,6259.41491498895,943.980908604472,290.461781321427
3,18,1,488.164109569857,6616.20200419436,356.787089205403,6128.0378946245
3,6,0,35,7027.75840812245,411.556403928093,6992.75840812245
4,15,0,89,234.984004574751,234.984004574751,145.984004574751
4,14,0,83,433.644653783589,198.660649208838,350.644653783589
4,6,1,35,2090.16146584634,1656.51681206275,2055.16146584634
4,2,1,11,2538.98216936602,448.820703519685,2527.98216936602
4,4,0,23,3022.58671893204,483.60454956602,2999.58671893204
4,12,1,2710.29948297834,3647.99826239892,625.41154346688,937.698779420589
4,9,1,3862.6958481847,4174.33567720371,526.337414804786,311.639829019007
4,18,0,1186.79507043259,4684.38448945207,510.048812248358,3497.58941901947
4,17,0,558.741359015719,5845.70057796539,1161.31608851332,5286.95921894967
4,5,1,5917.21653141524,6243.41300805415,397.712430088763,326.19647663891
4,16,1,95,6578.0431654665,334.630157412346,6483.0431654665
4,3,1,6503.92642426486,6737.09683228549,159.053666818991,233.170408020635
4,1,0,2656.29948297834,6804.84652232288,67.7496900373862,4148.54703934454
5,15,0,89,342.268164635571,342.268164635571,253.268164635571
5,10,1,415.576290866696,631.597435362744,289.329270727173,216.021144496047
5,16,0,1660.66090918756,2018.27598629198,1386.67855092923,357.615077104417
5,20,0,1782.01214632652,2187.93160472211,169.655618430132,405.919458395592
5,13,0,2351.55892170143,2502.16334192621,314.231737204099,150.604420224774
5,8,1,1213.95843490964,3418.11174851819,915.948406591986,2204.15331360855
5,11,1,3841.80272908148,4167.74883168732,749.637083169122,325.946102605831
5,7,0,397.576290866696,4450.56694397814,282.818112290829,4052.99065311145
5,1,0,361.576290866696,4983.45721399067,532.890270012525,4621.88092312397
5,14,0,5153.66652358815,5441.14929659684,457.69208260617,287.482773008686
5,9,1,2333.55892170143,5941.35329894571,500.204002348869,3607.79437724427
5,19,1,2375.55892170143,6266.15754963006,324.804250684358,3890.59862792863
6,8,1,47,341.908513608435,341.908513608435,294.908513608435
6,12,1,71,540.263809915978,198.355296307543,469.263809915978
6,3,1,17,911.918071019565,371.654261103587,894.918071019565
6,13,0,77,1067.29019743292,155.372126413358,990.290197432923
6,2,1,1732.68788619085,2066.97715375215,999.68695631923,334.289267561307
6,11,1,2597.59133287344,2760.48556281928,693.508409067128,162.894229945845
6,1,1,5,3242.98082347594,482.495260656662,3237.98082347594
6,5,1,586.902181015257,3683.02299850546,440.042175029519,3096.1208174902
6,4,1,2915.90487343341,3823.02190612688,139.998907621416,907.117032693468
6,10,1,4964.16111331643,5141.88646810834,1318.86456198147,177.725354791918
7,10,0,59,372.034534977086,372.034534977086,313.034534977086
7,5,0,29,799.430276622891,427.395741645806,770.430276622891
7,11,1,1738.20557851965,2309.12571055405,1509.69543393116,570.920132034393
7,19,0,2519.28697190725,2855.77487179764,546.649161243593,336.487899890391
7,12,0,2477.28697190725,2906.57798227896,50.8031104813163,429.291010371708
7,8,0,2465.28697190725,2958.24607009444,51.6680878154848,492.959098187192
7,15,0,500.754339513264,3262.79658474166,304.55051464722,2762.0422452284
7,4,1,3658.94761977372,3858.8208694177,596.024284676039,199.873249643983
7,13,0,1134.15186710278,4955.59291442293,1096.77204500523,3821.44104732015
7,2,1,2640.63820904621,6472.29875052284,1516.7058360999,3831.66054147663
8,18,0,107,234.981183346302,234.981183346302,127.981183346302
8,8,1,47,556.581424946099,321.600241599797,509.581424946099
8,2,1,11,823.106633603472,266.525208657374,812.106633603472
8,14,0,415.993955515095,854.340336233898,31.2337026304252,438.346380718802
8,13,1,77,2117.93623587476,1263.59589964086,2040.93623587476
8,15,1,1635.79320863607,2241.77351943439,123.837283559628,605.980310798317
8,12,1,1623.79320863607,2393.77706286502,152.00354343063,769.983854228947
8,11,1,2612.30345983358,2834.75994759226,440.982884727243,222.456487758683
8,5,1,29,3640.08064223834,805.320694646077,3611.08064223834
8,6,1,3543.41523562333,3868.5035063295,228.422864091159,325.088270706166
8,16,1,95,4079.74575167613,211.242245346631,3984.74575167613
8,1,0,3910.7216823956,4202.35017035456,122.604418678427,291.628487958954
8,10,1,3561.41523562333,5065.25276789994,862.90259754538,1503.8375322766
8,19,0,3344.06399848437,5300.81656471647,235.563796816537,1956.7525662321
8,20,1,5185.61421020331,6469.01675499426,1168.20019027778,1283.40254479094
9,10,0,59,372.783400530728,372.783400530728,313.783400530728
9,6,0,35,813.30101128988,440.517610759153,778.30101128988
9,7,0,41,837.757546484886,24.4565351950062,796.757546484886
9,14,0,83,1177.20444606386,339.446899578971,1094.20444606386
9,1,1,5,1642.38498775514,465.180541691281,1637.38498775514
9,3,0,17,2099.79334578228,457.408358027137,2082.79334578228
9,9,0,1956.45167861141,2460.18465835314,360.391312570869,503.732979741734
9,8,1,2173.97031995886,2584.80030907155,124.615650718406,410.829989112694
9,17,1,101,3420.31881479225,835.5185057207,3319.31881479225
9,4,1,4150.07841953888,4329.65587947873,909.337064686481,179.577459939854
10,20,1,314,616.679018859222,616.679018859222,302.679018859222
10,7,1,41,1657.87292392347,1041.19390506425,1616.87292392347
10,17,1,101,1717.63346404186,59.7605401183921,1616.63346404186
10,13,1,1820.93596537643,2063.6965841328,346.063120090939,242.76061875637
10,2,0,11,2301.60136804785,237.904783915051,2290.60136804785
10,6,0,2443.40160114502,2706.08839236109,404.487024313242,262.686791216075
10,14,0,3604.68723916577,3876.86989587661,1170.78150351552,272.182656710834
10,11,0,4286.59218642425,4625.00896530489,748.139069428285,338.41677888064
10,10,0,59,5393.29218134019,768.283216035293,5334.29218134019
10,5,0,4262.59218642425,5558.43490530009,165.142723959908,1295.84271887584
10,15,0,89,5792.98846983131,234.553564531216,5703.98846983131
10,18,0,107,5972.17991310236,179.191443271049,5865.17991310236
10,9,0,53,6558.44641764011,586.266504537749,6505.44641764011
10,3,1,5695.85682502914,6600.10474129519,41.6583236550823,904.247916266054
10,4,0,23,6740.85692423676,140.752182941575,6717.85692423676
11,2,1,11,420.9493659626,420.9493659626,409.9493659626
11,12,1,71,913.362524928674,492.413158966074,842.362524928674
11,4,1,1240.3061886564,1542.42920504081,629.066680112141,302.123016384419
11,1,1,3974.35115409644,4467.66396993582,2925.234764895,493.312815839375
11,5,1,4752.19452846037,5057.38046845539,589.716498519569,305.185939995011
11,8,1,4770.19452846037,5401.26250749779,343.882039042402,631.067979037412
11,16,1,3176.114131157,5841.63617579458,440.373668296797,2665.52204463758
11,11,1,65,5885.50816705665,43.8719912620663,5820.50816705665
11,18,1,3476.19313880348,6145.52256287363,260.014395816977,2669.32942407015
11,9,1,2563.95611586404,6407.42068728829,261.89812441466,3843.46457142425
11,6,1,1252.3061886564,6858.07902981024,450.658342521953,5605.77284115384
11,14,0,83,6988.68429014537,130.605260335128,6905.68429014537
11,17,1,2311.87710821756,7331.20709089727,342.522800751904,5019.32998267971
11,7,1,1963.79810057108,7656.11059380833,324.903502911053,5692.31249323725
11,20,1,1222.3061886564,7809.52768757653,153.417093768207,6587.22149892014
